Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118)
9.75990388010754e-15,0.9041474096831618,3.1411800691388947e-15,7.2599304216485739e-24,7.2599178001095007e-24,8.8756016453333847e-38,3.1716465241631284e-31,0.0,0.0,7.8252630787096745e-16,5.2686709756066461e-27,154.0,0.0,0.9999999927446207,1.0,18.999999999999968,6.9303035381046554e-10,2.7470598627719443e-09,1.8955934982816327e-09,1.8956046699006336e-09,9.9571426451181598e-12,2.0305979341984211e-14,4.1707317000592381e-16,1.2640993555770126e-14,1.4100244369069895e-11
1.2014899832859246e-14,0.9041474096831618,3.8669399970602393e-15,1.100220219429393e-23,1.1002186455647002e-23,1.6556557214633028e-37,5.9138509165340638e-31,0.0,0.0,9.6388543317516554e-16,7.9877767804253156e-27,154.0,0.0,0.99999999106842119,1.0,18.99999999999995,8.5315289589562833e-10,3.374833316350319e-09,2.3335588012121037e-09,2.3335747467280491e-09,1.5069179239288831e-11,3.0772633082662838e-14,5.1444589101018802e-16,1.9143496687767506e-14,2.133936585297517e-11
1.4269895785610952e-14,0.904147409683162,4.5926998785895789e-15,1.5519571632020863e-23,1.5519552651315661e-23,2.7743426243529003e-37,9.9055637220506358e-31,0.0,0.0,1.1454543214640741e-15,1.1272072636044023e-26,154.0,0.0,0.9999999893922713,1.0,18.999999999999929,1.013275437089024e-09,4.0000293527623544e-09,2.7715219349013806e-09,2.7715434836098558e-09,2.1227416327742302e-11,4.3406850050078923e-14,6.1181831279221672e-16,2.6984477478734939e-14,3.0060004995739826e-11
1.6524891738362658e-14,0.9041474096831614,5.3184597137269308e-15,2.0812038683829032e-23,2.0812016312688421e-23,4.3096854853435073e-37,1.5381052963296798e-30,0.0,0.0,1.3272329730061777e-15,1.5122249430384401e-26,154.0,0.0,0.99999998771617093,1.0,18.999999999999904,1.173397977390661e-09,4.6226585466820543e-09,3.2094828994483219e-09,3.20951088339171e-09,2.8427561537947512e-11,5.820853143062987e-14,7.0919077279367413e-16,3.6161089977822047e-14,4.0256083397606158e-11
2.103488364386607e-14,0.9041474096831611,6.7699792448257356e-15,3.3722265429890836e-23,3.3722235738974297e-23,8.8955190192862512e-37,3.1721100651373424e-30,0.0,0.0,1.6914195669257616e-15,2.4523011817301382e-26,154.0,0.0,0.99999998436411786,1.0,18.999999999999844,1.4936430553186894e-09,5.8602584391285105e-09,4.0853983215108586e-09,4.0854416830072998e-09,4.5936515054113254e-11,9.4313891938022995e-14,9.039347190264932e-16,5.8509859622139105e-14,6.505039763010827e-11
2.554487554936948e-14,0.9041474096831607,8.2214985903567878e-15,4.9732882033501125e-23,4.9732844147986078e-23,1.5944146594978083e-36,5.6809403750444131e-30,0.0,0.0,2.0564452170855118e-15,3.6195596105168541e-26,154.0,0.0,0.9999999810122604,1.0,18.999999999999769,1.8138881296797762e-09,7.0877167938859965e-09,4.9613050681909832e-09,4.9613671682389472e-09,6.7562024397753949e-11,1.3908792367716645e-13,1.0986774806178359e-15,8.6167142089486043e-14,9.5674139586340033e-11
3.0054867454872896e-14,0.9041474096831602,9.6730177503202199e-15,6.8843888097985775e-23,6.8843840955483444e-23,2.5988313191401538e-36,9.2521630836107388e-30,0.0,0.0,2.422309925637763e-15,5.0145536272962485e-26,154.0,0.0,0.99999997766059667,1.0,18.99999999999968,2.1341332004739846e-09,8.3051167488481598e-09,5.837203140279994e-09,5.8372873616591051e-09,9.3270343014523213e-11,1.9252983568850843e-13,1.2934190572235417e-15,1.1911036526506649e-13,1.3207952099855933e-10
3.456485936037631e-14,0.90414740968316,1.1124536724716154e-14,9.1055283227260479e-23,9.105522557781026e-23,3.9562532948713308e-36,1.4073350631089227e-29,0.0,0.0,2.7890136947348773e-15,6.637836755950307e-26,154.0,0.0,0.99999997430912546,1.0,18.999999999999584,2.4543782677013758e-09,9.512540746899051e-09,6.7130925385691349e-09,6.7132022857426755e-09,1.2302800646185458e-10,2.5463883706433083e-13,1.4881594635581157e-15,1.5731705457040951e-13,1.7421915309561072e-10
3.907485126587972e-14,0.9041474096831592,1.2576055513544722e-14,1.1636706702519743e-22,1.1636699743126816e-22,5.720306149242428e-36,2.0332074286762239e-29,0.0,0.0,3.1565565265289895e-15,8.4899626258399229e-26,154.0,0.0,0.9999999709578451,1.0,18.999999999999471,2.774623331362011e-09,1.0710070542139847e-08,7.5889732638495693e-09,7.5891119628671231e-09,1.5680182988146766e-10,3.2541413697505519e-13,1.6828987035723827e-15,2.0076483287393528e-13,2.220460430237582e-10
4.8094835076886543e-14,0.904147409683158,1.5479092534500248e-14,1.7629179904189999e-22,1.7629170049614415e-22,1.0683622330502593e-35,3.7912407312034678e-29,0.0,0.0,3.8941593868155392e-15,1.2882957594595723e-25,154.0,0.0,0.99999996425585047,1.0,18.999999999999197,3.4151134479832581e-09,1.3075771354921423e-08,9.3407086985485847e-09,9.3409156652946997e-09,2.3626651030352215e-10,4.9296046945709657e-13,2.0723737035553309e-15,3.0329460173499951e-13,3.3457545610730932e-10
