Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153)
1.6971772378489662e-11,0.8409530006620634,2.878249640767242e-16,1.8227397000359919e-22,1.8226360326402105e-22,2.0611923553114979e-34,1.0366734446688274e-26,0.0,0.0,1.8831849685780986e-14,2.5913896963120703e-23,154.0,0.0,0.99999984964208666,1.0,18.999999999047056,3.0181099840908812e-08,2.2182548713222302e-10,5.8018706281200305e-08,5.8971552446148026e-08,2.0118113876215382e-09,9.5287226530399642e-10,4.5220031160351683e-14
1.757109971708319e-11,0.8409530006617377,2.9798638344105219e-16,1.9537348351589081e-22,1.9536197935746477e-22,2.360233812709762e-34,1.1504153479120705e-26,0.0,0.0,2.0131635910291777e-14,2.8673956098789953e-23,154.0,0.0,0.99999984433282019,1.0,18.999999998979277,3.124688778154113e-08,2.2182732991132869e-10,6.0033404854499015e-08,6.1054025466043956e-08,2.0903401049052878e-09,1.0206469988539002e-09,4.6816931496713873e-14
1.817042705567672e-11,0.8409530006614009,3.0814762550995412e-16,2.0892743848928926e-22,2.0891471662202274e-22,2.6906289112660809e-34,1.2721862554821337e-26,0.0,0.0,2.1474308368449135e-14,3.1624110855679539e-23,154.0,0.0,0.99999983902355405,1.0,18.999999998909217,3.2312675529596086e-08,2.2182848491276305e-10,6.2045824780049987e-08,6.3136498463826782e-08,2.1688694791366839e-09,1.0907003151519088e-09,4.8413831364383419e-14
1.876975439427025e-11,0.8409530006610536,3.1830869026939179e-16,2.2293582699436681e-22,2.2292180439065319e-22,3.0544875735914493e-34,1.4022599291351799e-26,0.0,0.0,2.2859826538302522e-14,3.477080924752735e-23,154.0,0.0,0.99999983371428824,1.0,18.999999998836891,3.3378463085073721e-08,2.2182933941603639e-10,6.4055970864515335e-08,6.5218971439494993e-08,2.2473991401595501e-09,1.1630274075764045e-09,5.0010732245721773e-14
1.936908173286378e-11,0.8409530006606948,3.2846957770536408e-16,2.3739864110106891e-22,2.3738323199575142e-22,3.4539874357946074e-34,1.5409101242146573e-26,0.0,0.0,2.4288149983358419e-14,3.8120510667064627e-23,154.0,0.0,0.99999982840502277,1.0,18.999999998762291,3.4444250447974068e-08,2.2183005702839941e-10,6.60638479044202e-08,6.7301444393051912e-08,2.3259289316004336e-09,1.2376234796426527e-09,5.1607630814378395e-14
1.9968409071457308e-11,0.8409530006603255,3.3863028780390643e-16,2.5231587287871532e-22,2.5229898876915164e-22,3.8913737804056446e-34,1.6884105896510063e-26,0.0,0.0,2.5759238352441324e-14,4.1679685848776566e-23,154.0,0.0,0.99999982309575741,1.0,18.999999998685425,3.5510037618297159e-08,2.2183057390754306e-10,6.8069460686169281e-08,6.9383917324489889e-08,2.4044589144788915e-09,1.3144837449863199e-09,5.3204534691365511e-14
2.0650356380962173e-11,0.8409530006598922,3.5019148180769932e-16,2.6984220290040715e-22,2.6982352932383111e-22,4.4380817818960666e-34,1.8673573452582163e-26,0.0,0.0,2.7485085931421677e-14,4.599253561129306e-23,154.0,0.0,0.9999998170545864,1.0,18.999999998595221,3.6722748112420003e-08,2.2183093154079895e-10,7.0348808311795033e-08,7.1753468494853361e-08,2.4938148287204334e-09,1.4046873693526734e-09,5.5021572124449046e-14
2.1332303690467038e-11,0.8409530006594444,3.6175244617194943e-16,2.879568513723452e-22,2.8793626616642063e-22,5.0403519864301624e-34,2.0585203434727166e-26,0.0,0.0,2.9266190491404381e-14,5.0594553445099984e-23,154.0,0.0,0.99999981101341573,1.0,18.999999998502098,3.7935458357210684e-08,2.2183112158589626e-10,7.2625237577451639e-08,7.41230196365834e-08,2.5831709025960978e-09,1.4978092698005346e-09,5.6838612101143155e-14
2.2014250999971903e-11,0.8409530006589832,3.7331318087625823e-16,3.0665980660815315e-22,3.066371835779975e-22,5.7018108254733034e-34,2.2623028395113654e-26,0.0,0.0,3.1102492988474957e-14,5.5495325093214136e-23,154.0,0.0,0.99999980497224539,1.0,18.999999998406064,3.9148168352669263e-08,2.2183123286061108e-10,7.4898755486851681e-08,7.6492570749682522e-08,2.6725270512151353e-09,1.59384244267634e-09,5.8655652077445857e-14
2.2696198309476768e-11,0.8409530006585075,3.848736859002883e-16,3.2595105692041781e-22,3.2592626583870995e-22,6.4261974781581428e-34,2.4791080778381903e-26,0.0,0.0,3.2993934520395016e-14,6.0704454952193734e-23,154.0,0.0,0.9999997989310756,1.0,18.999999998307121,4.0360878098795793e-08,2.218313128282756e-10,7.7169369026902001e-08,7.8862121834150725e-08,2.7618832292127756e-09,1.692779901132099e-09,6.0472692021392079e-14
