Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125)
3.536737851180323e-14,0.8693272349592398,2.0406797188058037e-15,1.2714832312194198e-23,1.2714828808811139e-23,2.2352994244044806e-37,2.7685598036882025e-37,0.0,0.0,8.6355725686810602e-16,1.555836683443374e-26,154.0,0.0,0.9999999890329978,1.0,19.0,1.3196262474092142e-09,2.6224513660408839e-09,3.4958812007233687e-09,3.4958841049603579e-09,3.3159081476485945e-11
4.1571777450911305e-14,0.8693272349592399,2.3986701609882332e-15,1.7567150060125625e-23,1.7567145942155174e-23,3.6316577053108924e-37,4.4983299570434659e-37,0.0,0.0,1.0170820605316871e-15,2.1525511241385676e-26,154.0,0.0,0.99999998710940763,1.0,19.0,1.5511245310444988e-09,3.0754132202105527e-09,4.1091537183425646e-09,4.1091571340948052e-09,4.5743494542240411e-11
4.777617639001938e-14,0.8693272349592399,2.7566605389429343e-15,2.3202052190532832e-23,2.320204745797556e-23,5.5171027033434692e-37,6.834168494644933e-37,0.0,0.0,1.17121381945892e-15,2.8469335771981176e-26,154.0,0.0,0.99999998518591204,1.0,19.0,1.7826228124240337e-09,3.5262845883504173e-09,4.7224262329955566e-09,4.7224301608699381e-09,6.0324022816778752e-11
5.398057532912746e-14,0.8693272349592398,3.1146508526699515e-15,2.9619538588051558e-23,2.961953324090813e-23,7.9661175883233272e-37,9.8684623612245588e-37,0.0,0.0,1.3259525336658809e-15,3.6393816139746172e-26,154.0,0.0,0.99999998326251027,1.0,19.0,2.0141210915478408e-09,3.9750751023221739e-09,5.3356987446824584e-09,5.335703185285875e-09,7.6891469245620084e-11
6.638937320734361e-14,0.8693272349592399,3.8306312874411193e-15,4.4802263588799645e-23,4.480225701248619e-23,1.4855454375037804e-36,1.8405379846516612e-36,0.0,0.0,1.6372508278801229e-15,5.520068411617203e-26,154.0,0.0,0.99999997941598684,1.0,19.0,2.4771176430283567e-09,4.8664519570409594e-09,6.5622437591584505e-09,6.5622492270406123e-09,1.1595046027826497e-10
7.879817108555976e-14,0.8693272349592399,4.5466114653021074e-15,6.3115323918898632e-23,6.3115316113418836e-23,2.4905465011399812e-36,3.0860944423779113e-36,0.0,0.0,1.9509769431343583e-15,7.7978025764660122e-26,154.0,0.0,0.999999975569834,1.0,19.0,2.9401141854862209e-09,5.749620177173515e-09,7.7887887617714575e-09,7.7887952593599287e-09,1.6284752340298876e-10
9.120696896377592e-14,0.8693272349592399,5.2625913862532704e-15,8.4558718524911208e-23,8.4558709490269443e-23,3.872830414326878e-36,4.7995267980385875e-36,0.0,0.0,2.2671308794578653e-15,1.0475774557182295e-25,154.0,0.0,0.99999997172404831,1.0,19.0,3.4031107189216031e-09,6.6246554025105609e-09,9.0153337525223811e-09,9.0153412822447348e-09,2.1751043340539997e-10
1.0361576684199207e-13,0.8693272349592399,5.9785710502949687e-15,1.091324463305524e-22,1.0913243606675383e-22,5.6942117887783194e-36,7.0576257215159726e-36,0.0,0.0,2.5857126368612111e-15,1.3557172299615334e-25,154.0,0.0,0.99999996787862633,1.0,19.0,3.8661072433346737e-09,7.4916324828616206e-09,1.0241878731412122e-08,1.024188729569592e-08,2.7986771939050661e-10
1.2049901975979356e-13,0.8693272349592399,6.9527234823981664e-15,1.4759412524744972e-22,1.4759411331128537e-22,8.9900351760498445e-36,1.1144505633541089e-35,0.0,0.0,3.0230697527058427e-15,1.8403280314102894e-25,154.0,0.0,0.99999996264717239,1.0,19.0,4.4960544242510407e-09,8.6584233292207803e-09,1.1910700245030934e-08,1.191071022082432e-08,3.7693926379809621e-10
1.3738227267759505e-13,0.8693272349592399,7.9268754389126877e-15,1.9185066517579105e-22,1.9185065156727364e-22,1.3373906601552925e-35,1.6581794505205194e-35,0.0,0.0,3.4649212454710297e-15,2.4010154816048104e-25,154.0,0.0,0.99999995741637737,1.0,19.0,5.1260015884660495e-09,9.8106190628720912e-09,1.3579521736696203e-08,1.357953312849308e-08,4.8794705330569471e-10
