Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75)
9.433780283524581e-11,0.4391189175024166,154.0,0.0,0.0,0.0,0.99996089701082802,1.0,18.999997858388866,3.0125031412798265e-06,1.5468413758891849e-05,1.3444577628649311e-05,2.0827236046886145e-06,9.0515703734038223e-12,3.3590159495300265e-08,2.219921600906881e-06,3.334229753023434e-11,2.7794174566679179e-06,5.8878458306458889e-08,3.5430755515520668e-14,2.9209337012068074e-09
9.823064960283708e-11,0.4391189171420531,154.0,0.0,0.0,0.0,0.99995928339759277,1.0,18.999997714774828,3.1368043329506321e-06,1.6106656022728654e-05,1.3944136432602724e-05,2.2238723520256906e-06,9.4250477155061379e-12,3.3590110012589722e-08,2.3121273825675619e-06,3.3342243716640325e-11,2.8948627020258854e-06,6.1343374683985486e-08,3.7831943475134323e-14,3.1668923072131538e-09
9.999999999999999e-11,0.43911891677550163,154.0,0.0,0.0,0.0,0.99995854998745914,1.0,18.999997648676612,3.1933006170997923e-06,1.6396744900870031e-05,1.4170368101967559e-05,2.2888500639323542e-06,9.594797711740835e-12,3.3590087520561121e-08,2.3540360764083442e-06,3.3342219259049496e-11,2.947334038303351e-06,6.2463709169498015e-08,3.8937328432013305e-14,3.2819695920245796e-09
1.0212349637042835e-10,0.43911891677550163,154.0,0.0,0.0,0.0,0.99995766977965594,1.0,18.999997568694845,3.2611047585812472e-06,1.674489622603852e-05,1.4441227214803497e-05,2.3674870525477832e-06,9.7985238456922828e-12,3.3590060526299797e-08,2.4043329986584174e-06,3.3342189914170372e-11,3.010307777263143e-06,6.3808283063995264e-08,4.0275081680414911e-14,3.4227914979505252e-09
1.0601634313801962e-10,0.4391189164031146,154.0,0.0,0.0,0.0,0.99995605615701733,1.0,18.999997420289187,3.3854044181745734e-06,1.738313436878425e-05,1.4935990246469893e-05,2.5134274350006539e-06,1.0171998763878237e-11,3.3590011042245608e-08,2.4965384491765147e-06,3.3342136117160631e-11,3.1257526823759529e-06,6.6273183445316232e-08,4.2757783868066832e-14,3.6886312094110504e-09
1.099091899056109e-10,0.4391189160252238,154.0,0.0,0.0,0.0,0.99995444252967713,1.0,18.999997269690152,3.5097033117335105e-06,1.8021370450928433e-05,1.5428557821708186e-05,2.6615612052415885e-06,1.0545472469984941e-11,3.3589961559723695e-08,2.5887437341217562e-06,3.3342082309999025e-11,3.2411974173641253e-06,6.8738075826665852e-08,4.5277799479636647e-14,3.9644113775859287e-09
1.1380203667320217e-10,0.43911891564214245,154.0,0.0,0.0,0.0,0.9999528288976357,1.0,18.999997117022495,3.6340014392609578e-06,1.8659604472432072e-05,1.5919054711191758e-05,2.8117635925602966e-06,1.0918944963938106e-11,3.3589912074124823e-08,2.6809488534957444e-06,3.3342028501611415e-11,3.3566419822295995e-06,7.1202960208025554e-08,4.7833005943625991e-14,4.2501319384654452e-09
1.1769488344079342e-10,0.43911891525416563,154.0,0.0,0.0,0.0,0.99995121526089292,1.0,18.999996962403916,3.7582988007598165e-06,1.929783643325586e-05,1.6407598589974013e-05,2.963916921866059e-06,1.1292416245668959e-11,3.3589862588381783e-08,2.7731538072967989e-06,3.3341974700736841e-11,3.4720863769702075e-06,7.3667836589360875e-08,5.0421401397634006e-14,4.5457928280390065e-09
1.215877302083847e-10,0.43911891486157184,154.0,0.0,0.0,0.0,0.99994960161944901,1.0,18.999996805945383,3.8825953962329863e-06,1.9936066333360995e-05,1.6894300440976959e-05,3.1179102101991241e-06,1.1665886315112559e-11,3.3589813104947112e-08,2.8653585955234507e-06,3.3341920898148743e-11,3.5875306015840401e-06,7.6132704969867861e-08,5.3041097824299117e-14,4.8513939822951608e-09
1.2548057697597597e-10,0.43911891446462387,154.0,0.0,0.0,0.0,0.99994798797330431,1.0,18.999996647751573,4.0068912256833671e-06,2.0574294172708199e-05,1.737926493556706e-05,3.2736387861548979e-06,1.2039355172208073e-11,3.3589763620074994e-08,2.9575632181769232e-06,3.3341867090244833e-11,3.7029746560725665e-06,7.8597565348897077e-08,5.5690314577029248e-14,5.166935337221623e-09
1.2937342374356724e-10,0.4391189140635693,154.0,0.0,0.0,0.0,0.9999463743224587,1.0,18.999996487921191,4.1311862891138591e-06,2.121251995125741e-05,1.7862590792507116e-05,3.4310039309320707e-06,1.2412822816899176e-11,3.3589714133565872e-08,3.0497676752569027e-06,3.3341813284902798e-11,3.8184185404353212e-06,8.1062417726333061e-08,5.8367372273591592e-14,5.4924168288052829e-09
1.332662705111585e-10,0.43911891365864186,154.0,0.0,0.0,0.0,0.9999447606669124,1.0,18.999996326547361,4.2554805865273625e-06,2.1850743668968399e-05,1.8344371116488474e-05,3.58991253980043e-06,1.2786289249131721e-11,3.3589664648719999e-08,3.1419719667615511e-06,3.3341759482363575e-11,3.9338622546699398e-06,8.3527262101939451e-08,6.1070687037078452e-14,5.8278383930322382e-09
1.3715911727874978e-10,0.43911891325006186,154.0,0.0,0.0,0.0,0.99994314700666553,1.0,18.999996163717892,4.3797741179267794e-06,2.2488965325801007e-05,1.8824693717397814e-05,3.7502768028340829e-06,1.3159754468854776e-11,3.3589615164038106e-08,3.2341760926911141e-06,3.3341705676767001e-11,4.0493057987766627e-06,8.5992098475184469e-08,6.3798765064613153e-14,6.1731999658878021e-09
