Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79)
4.4659049054830565e-13,0.8827513472338517,154.0,0.0,0.0,0.0,0.9999999613082593,1.0,18.999999999989306,6.0979452569861484e-09,1.4208042082033057e-08,1.4205675922230968e-08,6.5284051146610227e-12,5.3955179776204959e-15,3.0941332683775905e-09,5.1157871492799731e-10,1.1177855176466443e-12,5.6255720864781183e-10,4.1568497945903663e-12
4.730126601324128e-13,0.8827513472338453,154.0,0.0,0.0,0.0,0.9999999590203078,1.0,18.999999999988031,6.4587252428978457e-09,1.5048411133853906e-08,1.5045734782636039e-08,7.3232248992481566e-12,5.7147837797456313e-15,3.2222537860888794e-09,5.6744070321978438e-10,1.1708681633497847e-12,6.2398580871816606e-10,4.6411588976045477e-12
4.9943482971652e-13,0.8827513472338384,154.0,0.0,0.0,0.0,0.99999995673246189,1.0,18.999999999986681,6.8195052206030155e-09,1.5888755981770623e-08,1.5885748056264137e-08,8.163627613238744e-12,6.0340491693654084e-15,3.3456015330308391e-09,6.2552612047634498e-10,1.2227019699369997e-12,6.8785940106936395e-10,5.1496680575794449e-12
5.258569993006272e-13,0.8827513472338313,154.0,0.0,0.0,0.0,0.99999995444471756,1.0,18.99999999998526,7.1802851901016958e-09,1.6729076983553739e-08,1.6725715752975086e-08,9.0496033969703533e-12,6.3532798594195165e-15,3.4643543048594818e-09,6.8575213932443834e-10,1.2733163179680174e-12,7.5408690463510323e-10,5.6820195384556689e-12
5.787013384688415e-13,0.8827513472338159,154.0,0.0,0.0,0.0,0.99999994986951946,1.0,18.999999999982215,7.901845104479736e-09,1.8409648853210247e-08,1.8405514455074218e-08,1.09582347456694e-11,6.9917215899581821e-15,3.688753203746822e-09,8.1230999995858675e-10,1.3710007191323337e-12,8.9325617619215358e-10,6.8168448880502862e-12
6.261919966666019e-13,0.8827513472338009,154.0,0.0,0.0,0.0,0.99999994575814688,1.0,18.999999999979252,8.5503034696021113e-09,1.9919883414055249e-08,1.9914976643966756e-08,1.2828928897706937e-11,7.5655380508218714e-15,3.8763847080783654e-09,9.3258381657181794e-10,1.4549072223679439e-12,1.0255152028181699e-09,7.9145932711657751e-12
6.736826548643623e-13,0.8827513472337848,154.0,0.0,0.0,0.0,0.99999994164704875,1.0,18.999999999976062,9.1987618082133579e-09,2.1430046246397982e-08,2.142429174605958e-08,1.4846697422579251e-11,8.1392836255713397e-15,4.0516402661337244e-09,1.058623054952394e-09,1.5352990177203693e-12,1.164114171967415e-09,9.0840578005465716e-12
7.211733130621228e-13,0.8827513472337676,154.0,0.0,0.0,0.0,0.99999993753620664,1.0,18.999999999972658,9.8472201203136462e-09,2.2940139244420221e-08,2.2933459818527541e-08,1.7011483146218511e-11,8.7130132733845542e-15,4.2153362227997435e-09,1.1900474150178934e-09,1.6123233321852937e-12,1.3086348869053227e-09,1.0323344240261171e-11
7.686639712598832e-13,0.8827513472337494,154.0,0.0,0.0,0.0,0.99999993342560378,1.0,18.999999999969042,1.0495678405903138e-08,2.4450164252579276e-08,2.4442480918523238e-08,1.932322891678712e-11,9.2864414551450447e-15,4.3682348984005357e-09,1.3265017644134018e-09,1.6861212169423589e-12,1.4586868265722638e-09,1.1630608419293146e-11
8.161546294576437e-13,0.8827513472337302,154.0,0.0,0.0,0.0,0.99999992931522486,1.0,18.999999999965208,1.1144136664981981e-08,2.5960123065343412e-08,2.5951355103176993e-08,2.1781877604659854e-11,9.8605700496743046e-15,4.5110483425778791e-09,1.4676543897395704e-09,1.7568278160315316e-12,1.6139052225476363e-09,1.3004054868188875e-11
