Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19),H(4),C2H6O2(21),HCO(39),CO(40),CHO3(66)
0.22467806837113632,0.0018239893945621037,0.84210526299999999,0.0,0.0,0.0,0.045165372378131743,0.094041510744445778,1.8536550658127853e-07,4.594794642271823e-05,1.7264609835782519e-05,1.0471296357784637e-17,2.3633520037482976e-08,0.0014405867384467703,0.011841567776955773,0.0014842709307448735,5.7913710413026812e-05,1.4379503340899695e-08,9.8237316999948518e-11,3.2046940173758116e-07,3.0955507320292664e-10,0.005949567684960703,3.2884843534873188e-08
0.22487513759978348,0.0018240315667531122,0.84210526299999999,0.0,0.0,0.0,0.045107196754147288,0.093948944556272132,1.859529626342558e-07,4.6116180443465193e-05,1.730096600047155e-05,1.0544939010088623e-17,2.3810846249716617e-08,0.0014404966052907868,0.01194648714539019,0.001494921588165083,5.8276928970375087e-05,1.4466070160175531e-08,9.8928273599224195e-11,3.2215492089715762e-07,3.1192353119507638e-10,0.0060074296017223056,3.3103070691576598e-08
0.22507220682843063,0.001824074059490434,0.84210526299999999,0.0,0.0,0.0,0.045048667062055979,0.093855818020167292,1.8654165698388623e-07,4.6284284367715986e-05,1.7337217562042577e-05,1.0619182880882333e-17,2.3989165314464502e-08,0.0014403766809312642,0.012052113464886015,0.0015056018787863135,5.8640922161368609e-05,1.4552814321267733e-08,9.9622447213647024e-11,3.2384478637117351e-07,3.1430198881512319e-10,0.0060656746972955105,3.3321647833273091e-08
0.22526927605707778,0.0018241168736564226,0.84210526299999999,0.0,0.0,0.0,0.044989782541069369,0.093762130260942961,1.8713158284293561e-07,4.6452253461451353e-05,1.7373362475506534e-05,1.0694030601711862e-17,2.4168479366114016e-08,0.0014402271342878576,0.01215844850186993,0.0015163114284403381,5.9005673005609956e-05,1.4639731872638227e-08,1.0031983431573583e-10,3.2553893601003797e-07,3.166904408738423e-10,0.0061243035827183365,3.354056618589434e-08
0.22546634528572493,0.0018241600101964908,0.84210526299999999,0.0,0.0,0.0,0.044930542446360744,0.093667880428414077,1.8772273129120111e-07,4.6620082697179431e-05,1.7409398414526951e-05,1.076948472746016e-17,2.4348790599418394e-08,0.0014400481334732053,0.012265493994792482,0.0015270498603486976,5.9371164540200365e-05,1.4726818875679822e-08,1.0102043134654322e-10,3.2723730987706618e-07,3.1908888246405892e-10,0.0061833168541353808,3.375981717694252e-08
0.22566341451437208,0.0018242034700445787,0.84210526299999999,0.0,0.0,0.0,0.044870946055409873,0.093573067707037827,1.8831509370409319e-07,4.6787767108422056e-05,1.7445323112716799e-05,1.08455478634631e-17,2.4530101122308098e-08,0.0014398398455124656,0.012373251642753163,0.0015378167939544875,5.973737955087787e-05,1.4814071309214272e-08,1.0172423447281659e-10,3.289398434103783e-07,3.2149730952438778e-10,0.0062427150866728037,3.3979392146752967e-08
0.22586048374301923,0.0018242472540412052,0.84210526299999999,0.0,0.0,0.0,0.044810992654237686,0.093477691294510293,1.8890866284908108e-07,4.6955301874394555e-05,1.7481134481039837e-05,1.0922222526741359e-17,2.4712413120517597e-08,0.0014396024370334378,0.012481723129587299,0.00154861184719516,6.0104300695028453e-05,1.4901485139867683e-08,1.0243123983337526e-10,3.3064647228832295e-07,3.2391571685151176e-10,0.0063024988472623594,3.4199282197602554e-08
0.22605755297166638,0.0018242913631381676,0.84210526299999999,0.0,0.0,0.0,0.044750681552488521,0.09338175042492268,1.8950343154279973e-07,4.7122682269399316e-05,1.7516830408199065e-05,1.0999511316305567e-17,2.4895728723849349e-08,0.0014393360731511518,0.012590910097625436,0.0015594346342046931,6.0471910406952379e-05,1.4989056293679539e-08,1.0314144342839899e-10,3.3235713420541388e-07,3.2634410003442855e-10,0.0063626686809662011,3.4419478653716999e-08
0.22625462220031353,0.0018243357981528171,0.84210526299999999,0.0,0.0,0.0,0.044690012070483585,0.093285244349355784,1.900993918402875e-07,4.7289903139000212e-05,1.7552408675988969e-05,1.1077416693653279e-17,2.5080050161357539e-08,0.0014390409185886248,0.012700814170106666,0.0015702847674516761,6.0840191204335419e-05,1.5076780725858415e-08,1.0385484141445974e-10,3.3407176828273196e-07,3.2878245405110395e-10,0.0064232251225832043,3.4639972708367105e-08
0.22645169142896068,0.0018243805599750165,0.84210526299999999,0.0,0.0,0.0,0.044628983545310537,0.093188172344270959,1.9069653617209649e-07,4.7456959873385414e-05,1.7587867167664125e-05,1.1155941142146622e-17,2.5265379629917528e-08,0.0014387171368375204,0.012811436940917093,0.0015811618566357189,6.1209125311349245e-05,1.5164654304974708e-08,1.0457142960137629e-10,3.3579030780736737e-07,3.3123077435497463e-10,0.0064841686915806437,3.486075545450681e-08
0.22664876065760783,0.0018244256494831252,0.84210526299999999,0.0,0.0,0.0,0.044567595337296796,0.093090533721995578,1.9129485546672542e-07,4.762384783394445e-05,1.7623203574834606e-05,1.1235087065253688e-17,2.5451719316788779e-08,0.0014383648898275668,0.012922779962945122,0.0015920655078306973,6.1578694956525661e-05,1.5252672896995039e-08,1.0529120381337499e-10,3.3751268648667767e-07,3.3368905665336788e-10,0.0065454998859358626,3.5081818053915491e-08
0.22684582988625498,0.0018244710674586184,0.84210526299999999,0.0,0.0,0.0,0.044505846815848932,0.092992327809039113,1.9189434411896725e-07,4.7790561922050545e-05,1.7658415983957861e-05,1.1314856945679256e-17,2.5639071466594149e-08,0.0014379843388981827,0.013034844772898482,0.0016029953259794967,6.1948882054808287e-05,1.5340832310819462e-08,1.0601415950865461e-10,3.3923883920011708e-07,3.3615729522717983e-10,0.0066072191950504976,3.5303151530945226e-08
0.22704289911490214,0.0018245168147801181,0.84210526299999999,0.0,0.0,0.0,0.044443737370795121,0.092893553963275102,1.9249499337277571e-07,4.7957097426833645e-05,1.769350208831782e-05,1.1395253108848285e-17,2.5827438332822678e-08,0.0014375756440788967,0.013147632871423896,0.0016139509126315737,6.2319668677083144e-05,1.5429128420822535e-08,1.0674029275943302e-10,3.4096870407168358e-07,3.3863548581592928e-10,0.0066693270894482631,3.5524746939854656e-08
0.2272399683435493,0.0018245628922461297,0.84210526299999999,0.0,0.0,0.0,0.044381266409090223,0.092794211568792903,1.9309679614572969e-07,4.8123449538931463e-05,1.7728459843132207e-05,1.1476277964294422e-17,2.6016822169121828e-08,0.001437138964111655,0.013261145728927379,0.0016249318669339381,6.2691036571631506e-05,1.5517556977923332e-08,1.0746959890233358e-10,3.427022113995422e-07,3.4112362359064572e-10,0.0067318240238885569,3.5746595286589001e-08
0.22743703757219644,0.0018246093006809687,0.84210526299999999,0.0,0.0,0.0,0.044318433358586283,0.092694300041601729,1.9369974594530046e-07,4.8289613427267245e-05,1.7763287237095792e-05,1.155793389353862e-17,2.6207225216451349e-08,0.0014366744560288798,0.013375384779033458,0.0016359377850516097,6.3062967300189072e-05,1.5606113723809592e-08,1.0820207322657758e-10,3.4443929537939873e-07,3.4362170357958918e-10,0.0067947104340879217,3.596868753228662e-08
0.2276341068008436,0.0018246560408375623,0.84210526299999999,0.0,0.0,0.0,0.044255237658341856,0.092593818815061443,1.9430383465945263e-07,4.8455584492184581e-05,1.7797982028710323e-05,1.1640223081555442e-17,2.6398649841008668e-08,0.0014361822762875447,0.013490351435262801,0.0016469682612373043,6.343544262427426e-05,1.5694794472917665e-08,1.0893771150249157e-10,3.4617989380100764e-07,3.4612972018141841e-10,0.0068579867451566533,3.6191014539959649e-08
0.22783117602949074,0.0018247031135178841,0.84210526299999999,0.0,0.0,0.0,0.044191678764313423,0.092492767348183513,1.9490905567074694e-07,4.8621357954418413e-05,1.7832542231478906e-05,1.1723147915098255e-17,2.659109835034645e-08,0.0014356625798112703,0.013606047081467029,0.0016580228876106747,6.3808443940480348e-05,1.5783594903325623e-08,1.0967650897355359e-10,3.4792393602917445e-07,3.4864766908230829e-10,0.0069216533669657927,3.6413567280811945e-08
0.2280282452581379,0.001824750519521177,0.84210526299999999,0.0,0.0,0.0,0.044127756156933512,0.092391145137394617,1.9551540195881558e-07,4.8786928953302103e-05,1.7866965787310797e-05,1.180671066356598e-17,2.6784573031667446e-08,0.0014351155195158384,0.013722473058284992,0.0016691012528840443,6.4181952553016161e-05,1.5872510699616354e-08,1.1041846076493691e-10,3.4967135457009338e-07,3.5117554568594901e-10,0.0069857106870763923,3.6636336617997044e-08
0.22822531448678504,0.0018247982595486702,0.84210526299999999,0.0,0.0,0.0,0.04406346932747595,0.09228895169566452,1.9612286721458749e-07,4.8952293085389605e-05,1.7901250681335401e-05,1.1890913468713161e-17,2.697907629585412e-08,0.0014345412476759909,0.013839630686801132,0.0016802029439359394,6.4555949786268847e-05,1.5961537585719437e-08,1.1116356215777025e-10,3.5142208581831345e-07,3.5371334357902822e-10,0.0070501590827774735,3.685931323100449e-08
0.2284223837154322,0.0018248463343761444,0.84210526299999999,0.0,0.0,0.0,0.04399881778292402,0.092186186559948688,1.9673144370224347e-07,4.9117445582228535e-05,1.7935394762482499e-05,1.1975758574733672e-17,2.7174610583712362e-08,0.0014339399151248849,0.013957521260505434,0.0016913275457691697,6.4930416912979498e-05,1.605067123300494e-08,1.1191180855472245e-10,3.5317606119044852e-07,3.5626105820425891e-10,0.0071149989172892194,3.7082488061679799e-08
0.22861945294407934,0.0018248947447495156,0.84210526299999999,0.0,0.0,0.0,0.043933801054713006,0.092082849304526898,1.9734112489663929e-07,4.9282381362954711e-05,1.7969396068505602e-05,1.2061248257667996e-17,2.7371178242021392e-08,0.0014333116706273326,0.014076146029702074,0.0017024746402605311,6.530533488445804e-05,1.613990722972876e-08,1.1266319492955158e-10,3.549332089166643e-07,3.5881868602509541e-10,0.0071802305315861415,3.7305851943426467e-08
