Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83)
1.340869222916673e-10,0.5299519990447671,76.950000000000003,0.0,0.0,0.0,4.0955775796451233e-05,9.4999949473009728,0.00039163003061090331,0.0014987245062363661,0.0014942926148468218,4.7459253634939993e-06,5.8166754952050348e-11,3.9987353464915115e-05,0.18690750636964695,3.0638858379189325e-07,1.7477418517043131e-14,3.2689817898994468e-10,4.1153999076962167e-09,0.80962002375839281,1.8227714551289413e-06,9.1788256460859066e-16,2.182901265298665e-17,5.1182303141669118e-12,0.0
1.3466142346347915e-10,0.5299519990447584,76.950000000000003,0.0,0.0,0.0,4.0249725128313176e-05,9.4999949472995624,0.00039162213754934621,0.0014987244512596385,0.0014942925947966947,4.7459252998777338e-06,5.8166752818349765e-11,3.9959189973825138e-05,0.18682099474232017,3.0638857255339398e-07,1.7477418282768885e-14,3.2838263352356533e-10,4.1342927548599366e-09,0.80970727754188954,1.8227772015719973e-06,9.1788253094016085e-16,2.1926746360374925e-17,5.1469498620081849e-12,0.0
1.35235924635291e-10,0.5299519990447498,76.950000000000003,0.0,0.0,0.0,3.9575971081824869e-05,9.499994947298152,0.00039161423171243053,0.0014987243962749611,0.0014942925747386425,4.7459252362322524e-06,5.8166750684340637e-11,3.9931554448027611e-05,0.18673451733969171,3.0638856131323342e-07,1.7477418048387046e-14,3.2986708769639695e-10,4.1531855971034398e-09,0.8097944642889825,1.8227828580654992e-06,9.1788249726675413e-16,2.2024495746287028e-17,5.1756728220145233e-12,0.0
1.3581042580710287e-10,0.5299519990447412,76.950000000000003,0.0,0.0,0.0,3.8933013343375451e-05,9.4999949472967415,0.00039160631369257936,0.0014987243412828237,0.0014942925546731537,4.7459251725593924e-06,5.8166748550041976e-11,3.9904422727397394e-05,0.18664807446077528,3.0638855007151432e-07,1.7477417813904383e-14,3.3135154152230839e-10,4.1720784345158343e-09,0.8098815852245338,1.8227884287224635e-06,9.1788246358867833e-16,2.2122260081665293e-17,5.2043991111547885e-12,0.0
1.3638492697891473e-10,0.5299519990447328,76.950000000000003,0.0,0.0,0.0,3.8319421306300465e-05,9.4999949472953347,0.00039159838405469522,0.0014987242862836828,0.0014942925346006842,4.7459251088608656e-06,5.8166746415471515e-11,3.9877771774153433e-05,0.18656166638979665,3.0638853882833218e-07,1.7477417579327199e-14,3.3283599501452447e-10,4.1909712671839204e-09,0.80996864151739223,1.8227939174648394e-06,9.1788242990621942e-16,2.2220038671334756e-17,5.2331286484171729e-12,0.0
1.369594281507266e-10,0.5299519990447242,76.950000000000003,0.0,0.0,0.0,3.7733830832179394e-05,9.499994947293926,0.0003915904433374389,0.0014987242312779648,0.0014942925145216576,4.7459250451382619e-06,5.8166744280645785e-11,3.9851579620712953e-05,0.18647529339688079,3.0638852758377599e-07,1.7477417344661344e-14,3.3432044818565587e-10,4.2098640951922714e-09,0.81005563428299621,1.8227993280323876e-06,9.1788239621964424e-16,2.2317830852428766e-17,5.2618613547600802e-12,0.0
1.3753392932253845e-10,0.5299519990447158,76.950000000000003,0.0,0.0,0.0,3.7174941162609185e-05,9.4999949472925174,0.00039158249205444869,0.0014987241762660652,0.001494292494436468,4.7459249813930576e-06,5.8166742145580141e-11,3.9825825319968169e-05,0.18638895573870745,3.0638851633792898e-07,1.7477417109912264e-14,3.3580490104772773e-10,4.2287569186232779e-09,0.81014256458585288,1.822804663991145e-06,9.1788236252920186e-16,2.2415635992887597e-17,5.2905971530642123e-12,0.0
1.3810843049435031e-10,0.5299519990447071,76.950000000000003,0.0,0.0,0.0,3.6641511974461961e-05,9.4999949472911087,0.00039157453069550274,0.0014987241212483541,0.0014942924743454847,4.745924917626631e-06,5.8166740010288954e-11,3.9800488897873511e-05,0.18630265365913659,3.0638850509086849e-07,1.7477416875085027e-14,3.3728935361220688e-10,4.2476497375572145e-09,0.8102294334419059,1.8228099287414949e-06,9.1788232883512422e-16,2.2513453490026906e-17,5.3193359680858109e-12,0.0
1.3868293166616218e-10,0.5299519990446986,76.950000000000003,0.0,0.0,0.0,3.6132360571960648e-05,9.4999949472897001,0.00039156655972762816,0.0014987240662251752,0.0014942924542490498,4.745924853840266e-06,5.8166737874785562e-11,3.9775551308235579e-05,0.18621638738980398,3.0638849384266646e-07,1.7477416640184369e-14,3.3877380589002747e-10,4.2665425520722909e-09,0.81031624182079043,1.8228151255258648e-06,9.1788229513762686e-16,2.2611282769172674e-17,5.3480777264110311e-12,0.0
1.3925743283797404e-10,0.52995199904469,76.950000000000003,0.0,0.0,0.0,3.5646359209215585e-05,9.4999949472882914,0.00039155857959615755,0.0014987240111968502,0.0014942924341474844,4.7459247900351553e-06,5.8166735739082446e-11,3.9750994389603581e-05,0.18613015715068992,3.0638848259339018e-07,1.747741640521468e-14,3.4025825789161585e-10,4.2854353622447139e-09,0.81040299064798449,1.8228202574360649e-06,9.1788226143691115e-16,2.2709123282359589e-17,5.3768223564114554e-12,0.0
