Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52)
5.822763878686564e-15,0.20202356206038086,76.950000000000003,0.0,0.0,0.0,0.9999987108120042,9.4999999999960867,9.1601694761702766e-09,1.5179013281165242e-07,1.5178891368324132e-07,2.5672454086804925e-12,3.109605462615713e-14,9.7390370400035893e-07,2.54116056248441e-09,1.3170209563943668e-12,1.631688126684241e-20,2.9768121497971674e-22,1.7277111366702946e-21
6.679153716636938e-15,0.20202356206037805,76.950000000000003,0.0,0.0,0.0,0.99999852122415844,9.4999999999948574,1.0507411130608503e-08,1.7411459086011952e-07,1.7411298048786819e-07,3.3778079950708996e-12,3.5697361616937712e-14,1.1166929915795481e-06,3.3427223406550554e-09,1.7317383993033095e-12,2.147297116380119e-20,4.4937857691826892e-22,2.6075895912373758e-21
8.391933392537687e-15,0.2020235620603712,76.950000000000003,0.0,0.0,0.0,0.99999814206457516,9.4999999999918945,1.3201893645247776e-08,2.1876331266403058e-07,2.1876075573246295e-07,5.3319032402163769e-12,4.4900373838416288e-14,1.4019272494282651e-06,5.274106505528593e-09,2.7300713241111567e-12,3.3904765605507738e-20,8.9171929116000741e-22,5.1720460323112266e-21
9.93343510084836e-15,0.2020235620603637,76.950000000000003,0.0,0.0,0.0,0.99999780083929035,9.499999999988658,1.5626927003032307e-08,2.5894694142389816e-07,2.589433449892525e-07,7.4701037980504658e-12,5.3182933477633735e-14,1.6582460645614967e-06,7.3860879753331878e-09,3.8204862522417773e-12,4.7509289027541004e-20,1.4795228532421455e-21,8.5779666220269186e-21
1.1474936809159033e-14,0.202023562060355,76.950000000000003,0.0,0.0,0.0,0.99999745963135434,9.4999999999848814,1.8051959503121853e-08,2.9913036163786615e-07,2.9912554736072936e-07,9.9677662224890733e-12,6.1465394159981015e-14,1.9141940523192842e-06,9.8516036370551889e-09,5.0920237330907332e-12,6.3402068051389247e-20,2.2816937534371489e-21,1.3223599188895379e-20
1.3016438517469707e-14,0.202023562060345,76.950000000000003,0.0,0.0,0.0,0.99999711844074224,9.4999999999805631,2.0476991145558462e-08,3.3931357397197669e-07,3.3930736292398218e-07,1.2824814827845566e-11,6.9747890118663304e-14,2.1697717491122868e-06,1.2670141977207219e-08,6.5440189927270105e-12,8.1582620881893233e-20,3.3317055210337098e-21,1.9301431155268105e-20
1.455794022578038e-14,0.2020235620603338,76.950000000000003,0.0,0.0,0.0,0.99999677726742953,9.4999999999757083,2.2902021930384125e-08,3.7949657908999789e-07,3.7948879175608085e-07,1.6041173944649735e-11,7.8030333642030862e-14,2.4249796905580807e-06,1.5841192238573084e-08,8.1758097513609956e-12,1.0205046582137066e-19,4.6630896791779358e-21,2.700397956945982e-20
1.6099441934091052e-14,0.2020235620603213,76.950000000000003,0.0,0.0,0.0,0.999996436111391,9.4999999999703135,2.5327051857640793e-08,4.1967937765316794e-07,4.1966983393407789e-07,1.9616767919484622e-11,8.6312700251274558e-14,2.6798184114889194e-06,1.936424441280942e-08,9.9867361935851293e-12,1.2480512127621973e-19,6.3094352747292635e-21,3.6523790947130794e-20
1.9182445350712398e-14,0.20202356206029268,76.950000000000003,0.0,0.0,0.0,0.99999575385103767,9.4999999999579128,3.0177109139614526e-08,5.000443577482931e-07,5.0003075863589088e-07,2.7845357904210441e-11,1.0287733927283483e-13,3.1883903274982112e-06,2.7464317934269372e-08,1.4143368237667622e-11,1.7717293783848924e-19,1.0681633620371587e-20,6.1785524921843561e-20
2.2265448767333745e-14,0.20202356206025907,76.950000000000003,0.0,0.0,0.0,0.99999507165948431,9.4999999999433644,3.5027162991813938e-08,5.8040851949938614e-07,5.8039013764548463e-07,3.7509979868786494e-11,1.1944164878614811e-13,3.6954917605013048e-06,3.6966297061732092e-08,1.9008684397311047e-11,2.3868221981823543e-19,1.6718134955192263e-20,9.6627578536048182e-20
