Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H11(22),C7H9(5),C7H9O2(68),S(66),C7H10(18),C7H10(153),C7H10(19),C7H9O2(67),C7H10(146)
3.165902589868489e-13,0.44112345894625987,76.950000000000003,0.0,0.0,0.0,0.99999995239368578,9.4999999999891411,4.3228644532682972e-09,2.0155156472416951e-08,2.0157437778471778e-08,7.6579674522938708e-15,6.5714893843763143e-12,2.387810001433515e-09,2.7211522200055538e-10,8.3738961354424657e-13,4.2825253620981329e-12,2.9923133051532488e-10
3.3645465595195725e-13,0.4411234589462529,76.950000000000003,0.0,0.0,0.0,0.99999994940736947,9.4999999999877538,4.5941017378372693e-09,2.1419350160194184e-08,2.142194430924943e-08,8.1384929941412126e-15,7.4216117251603948e-12,2.5044588539874464e-09,3.0464330942306055e-10,8.8238929402103043e-13,4.8193241769170695e-12,3.3500082118886132e-10
3.563190529170656e-13,0.44112345894624544,76.950000000000003,0.0,0.0,0.0,0.99999994642112588,9.4999999999862847,4.865339017424341e-09,2.2683492195462415e-08,2.2686421253655617e-08,8.6190357736752088e-15,8.3233790193881901e-12,2.6178254880427863e-09,3.3870044143740072e-10,9.265907091442779e-13,5.3857017904076386e-12,3.7245172478787307e-10
3.7618344988217396e-13,0.44112345894623767,76.950000000000003,0.0,0.0,0.0,0.99999994343495247,9.499999999984734,5.136576292029533e-09,2.3947582586621849e-08,2.3950868940699563e-08,9.0999223686859898e-15,9.2767828670585241e-12,2.7280022585925739e-09,3.7424359381199166e-10,9.7000801975932018e-13,5.9813288669757613e-12,4.1153672974450228e-10
3.960478468472823e-13,0.4411234589462293,76.950000000000003,0.0,0.0,0.0,0.99999994044884788,9.4999999999831051,5.4078135616528619e-09,2.5211621342071151e-08,2.5215287696498288e-08,9.5806833953738817e-15,1.0281814869651231e-11,2.8350788918327815e-09,4.1123096695909311e-10,1.0126551335281599e-12,6.6058797591181169e-12,4.5220987116968588e-10
4.1591224381239067e-13,0.44112345894622074,76.950000000000003,0.0,0.0,0.0,0.99999993746281002,9.4999999999813944,5.6790508262943482e-09,2.6475608470207589e-08,2.6479677843696265e-08,1.0060671206028616e-14,1.1338466630092974e-11,2.9391425502242187e-09,4.4962195562525928e-10,1.054545708927196e-12,7.2590324702162374e-12,4.9442649752327911e-10
4.35776640777499e-13,0.44112345894621163,76.950000000000003,0.0,0.0,0.0,0.99999993447683677,9.4999999999796039,5.9502880859540103e-09,2.7739543979427144e-08,2.7744039699406734e-08,1.0541243393937222e-14,1.2446729752563247e-11,3.0402780395260443e-09,4.893770524433015e-10,1.0956931681415408e-12,7.9404685295818313e-12,5.3814316455503504e-10
4.556410377426073e-13,0.4411234589462023,76.950000000000003,0.0,0.0,0.0,0.99999993149092636,9.4999999999777334,6.2215253406318655e-09,2.9003427878124402e-08,2.9008373577244189e-08,1.102367523114451e-14,1.3606595842634572e-11,3.138567721934749e-09,5.3045788839711046e-10,1.1361106916406437e-12,8.6498730476161155e-12,5.8331767980171955e-10
4.755054347077157e-13,0.4411234589461924,76.950000000000003,0.0,0.0,0.0,0.99999992850507746,9.4999999999757829,6.4927625903279295e-09,3.0267260174692762e-08,3.0272679792676298e-08,1.1503973625821521e-14,1.4818056507066752e-11,3.2340917843015907e-09,5.7282710787065463e-10,1.1758112351634162e-12,9.3869345499122175e-12,6.2990896518482502e-10
4.95369831672824e-13,0.4411234589461822,76.950000000000003,0.0,0.0,0.0,0.99999992551928785,9.4999999999737561,6.7639998350422181e-09,3.153104087752416e-08,3.1536958653154272e-08,1.198263534894671e-14,1.608110335408464e-11,3.3269280638949555e-09,6.1644844981782546e-10,1.2148075187098332e-12,1.0151345088622211e-11,6.7787714626893801e-10
5.152342286379324e-13,0.4411234589461715,76.950000000000003,0.0,0.0,0.0,0.9999999225335563,9.4999999999716493,7.0352370747747493e-09,3.279476999500904e-08,3.2801210456317809e-08,1.2466503048220449e-14,1.7395727993363393e-11,3.4171521512341979e-09,6.6128669985655962e-10,1.2531120329821395e-12,1.0942800181558182e-11,7.2718349958206932e-10
5.350986256030407e-13,0.4411234589461605,76.950000000000003,0.0,0.0,0.0,0.99999991954788059,9.4999999999694644,7.3064743095255373e-09,3.4058447535536488e-08,3.4065435507887186e-08,1.2950912366393966e-14,1.8761922036007117e-11,3.5048374518449743e-09,7.0730766149967765e-10,1.290737043438627e-12,1.1760998772951536e-11,7.7779042097966915e-10
5.549630225681491e-13,0.44112345894614907,76.950000000000003,0.0,0.0,0.0,0.99999991656225973,9.4999999999672013,7.577711539294597e-09,3.5322073507494249e-08,3.5329634121679375e-08,1.3419825380147845e-14,2.0179677094369239e-11,3.5900554255287294e-09,7.5447804468948833e-10,1.3276946055542852e-12,1.2605643083869595e-11,8.2966130307177419e-10
5.748274195332575e-13,0.4411234589461373,76.950000000000003,0.0,0.0,0.0,0.99999991357669205,9.4999999999648601,7.8489487640819433e-09,3.6585647919268722e-08,3.6593806574015476e-08,1.3891345622670986e-14,2.1648984782207125e-11,3.6728754597369337e-09,8.0276552478730263e-10,1.3639965569996642e-12,1.3476438689838134e-11,8.8276060009079025e-10
