Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150)
1.2457930701173347e-15,0.2567461683410375,76.950000000000003,0.0,0.0,0.0,0.99999999988511812,9.5,7.2498868912330343e-12,5.2816904020564726e-11,5.2816906334887951e-11,1.2382197141661876e-16,3.6138909203138171e-17,1.9963293900710864e-12,8.7848085350899577e-16,8.9997387972997348e-17,2.5386295827366918e-24,1.4146051322112405e-28,4.6615148045087187e-29,8.4896071500223974e-16
1.6610583655557867e-15,0.2567461683410375,76.950000000000003,0.0,0.0,0.0,0.99999999984682408,9.5,9.66652131680923e-12,7.0422542538022641e-11,7.0422536083381736e-11,2.1058875302802613e-16,5.1079904265391501e-17,2.6611247583862545e-12,1.4938381378056499e-15,1.5305421244283076e-16,4.5818534442800819e-24,2.9598407270504383e-28,1.0194266024077483e-28,1.4436397657440337e-15
2.4915889564326906e-15,0.2567461683410375,76.950000000000003,0.0,0.0,0.0,0.9999999997702359,9.5,1.4499790166124802e-11,1.0563376505805183e-10,1.0563372086911216e-10,4.5882950084628702e-16,8.1207652265104644e-17,3.9896505510556198e-12,3.2535747596493194e-15,3.3343291963114688e-16,1.0729442761095337e-23,9.3463621453247871e-28,3.3911409914768662e-28,3.1442428633944869e-15
3.3221195473095947e-15,0.2567461683410374,76.950000000000003,0.0,0.0,0.0,0.99999999969364795,9.5,1.9333059013019077e-11,1.4084491595022071e-10,1.4084480717061253e-10,8.0554911022877509e-16,1.1144236537569556e-16,5.3167735121799067e-12,5.7101826268348687e-15,5.8532715628536878e-16,1.9596991898418807e-23,2.125882559230664e-27,7.8892056609280571e-28,5.5182998085097847e-15
4.9831807290634025e-15,0.25674616834103753,76.950000000000003,0.0,0.0,0.0,0.99999999954047192,9.4999999999999982,2.899959669951029e-11,2.1126700241687768e-10,2.1126668296269906e-10,1.7957830636387771e-15,1.718099586379152e-16,7.9667992155681352e-12,1.2719836228419573e-14,1.3045189719670871e-15,4.5534843358288079e-23,7.0980129846501363e-27,2.6863308491420913e-27,1.2292403660443892e-14
8.305303092571019e-15,0.2567461683410374,76.950000000000003,0.0,0.0,0.0,0.9999999992341202,9.4999999999999929,4.8332672043295881e-11,3.5211031435463456e-10,3.5210924701945567e-10,4.9637136521498058e-15,2.9249307108919059e-16,1.3250014822685989e-11,3.5102503031944431e-14,3.6038855325053712e-15,1.302231527677444e-22,3.337784556546538e-26,1.2777298116280042e-26,3.3922931790663362e-14
1.1627425456078635e-14,0.2567461683410375,76.950000000000003,0.0,0.0,0.0,0.99999999892776903,9.499999999999984,6.7665747348144957e-11,4.9295247914969444e-10,4.9295022742859122e-10,9.7152055324630024e-15,4.1315854555597581e-16,1.8510843494244657e-11,6.8606114262632384e-14,7.0503261423809213e-15,2.5866850218809583e-22,8.9341051440775269e-26,3.4310148570219855e-26,6.6300700336306896e-14
1.494954781958625e-14,0.2567461683410374,76.950000000000003,0.0,0.0,0.0,0.9999999986214182,9.4999999999999716,8.6998822614054182e-11,6.3379349824457945e-10,6.3378962409009556e-10,1.6050358707251402e-14,5.3382714929278172e-16,2.3749373656704529e-11,1.1318674314783909e-13,1.1642377505087908e-14,4.3087339556315902e-22,1.8598307857281972e-25,7.1524191253859027e-26,1.0938325862367037e-13
1.8271670183093868e-14,0.25674616834103736,76.950000000000003,0.0,0.0,0.0,0.99999999831506803,9.4999999999999591,1.0633189784102251e-10,7.7463337322071039e-10,7.7462743699472887e-10,2.3969182414188679e-14,6.5449590424520244e-16,2.8965697676226599e-11,1.6879850582734647e-13,1.7378461175579022e-14,6.4683814211405027e-22,3.3466736479003118e-25,1.2880054244233576e-25,1.6312626465671501e-13
2.49159149101091e-14,0.2567461683410372,76.950000000000003,0.0,0.0,0.0,0.99999999770236914,9.4999999999999218,1.4499804817813583e-10,1.0563096967621729e-09,1.056298311639463e-09,4.4557735343010308e-14,8.958303097345942e-16,3.9332069685539413e-11,3.1294534223044653e-13,3.2276783534376669e-14,1.2100443103385219e-21,8.3029831374449395e-25,3.1978583840943844e-25,3.0242924527353201e-13
