Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82)
2.244729686430953e-14,0.17203094247240744,76.950000000000003,0.0,0.0,0.0,0.99999994154387906,9.4999999999973888,1.7060477366686967e-09,2.4707871964689924e-08,2.4707271898053664e-08,1.6053644141572609e-12,1.4078589156078284e-14,7.2714501752026098e-09,6.0868397493852498e-11,9.9121921021147119e-13,2.1467668648358314e-20
2.575242034331721e-14,0.17203094247240586,76.950000000000003,0.0,0.0,0.0,0.99999993293732881,9.4999999999965681,1.9572449363221464e-09,2.8345674554924308e-08,2.8344881079118712e-08,2.1128526768653369e-12,1.6160595374745288e-14,8.3313944875811507e-09,8.0043833929902911e-11,1.3032163041566671e-12,2.8265428742732804e-20
3.236266730133257e-14,0.17203094247240194,76.950000000000003,0.0,0.0,0.0,0.99999991572459923,9.4999999999945874,2.4596393246974217e-09,3.5621153007213046e-08,3.5619890534277422e-08,3.3365483032977043e-12,2.0324519275854551e-14,1.044311353133615e-08,1.2619359845153045e-10,2.053750893069493e-12,4.4660820516972248e-20
3.8972914259347933e-14,0.17203094247239714,76.950000000000003,0.0,0.0,0.0,0.99999989851236248,9.4999999999921627,2.9620336984974073e-09,4.2896463384878974e-08,4.2894621484586917e-08,4.8384982911530815e-12,2.4488345042532029e-14,1.2543986443314941e-08,1.8269735851798193e-10,2.9721097188314635e-12,6.478886769616445e-20
4.5583161217363294e-14,0.1720309424723915,76.950000000000003,0.0,0.0,0.0,0.99999988130061568,9.4999999999892939,3.4644280577223493e-09,5.0171606757433472e-08,5.0169073975379063e-08,6.6186573156993073e-12,2.8652074507141033e-14,1.4634068942595228e-08,2.4950192308657455e-10,4.0572232754349563e-12,8.8648962269850375e-20
5.2193408175378655e-14,0.17203094247238496,76.950000000000003,0.0,0.0,0.0,0.9999998640893567,9.4999999999859828,3.9668224023724935e-09,5.7446584187467335e-08,5.744324805197954e-08,8.6769800583897013e-12,3.2815709050669579e-14,1.6713416458089241e-08,3.2655437811497739e-10,5.3080289777705011e-12,1.1624049631040927e-19
5.880365513339402e-14,0.1720309424723776,76.950000000000003,0.0,0.0,0.0,0.99999984687858268,9.4999999999822258,4.4692167324480842e-09,6.4721396730682366e-08,6.4717143759706523e-08,1.1013421208113756e-11,3.6979249225574227e-14,1.8782084128992586e-08,4.1380208613273368e-10,6.7234711306174046e-12,1.4756286198994825e-19
7.202414904942474e-14,0.1720309424723602,76.950000000000003,0.0,0.0,0.0,0.99999981245848002,9.4999999999733884,5.4740053488765812e-09,7.9270531347440251e-08,7.9264100249776351e-08,1.6520477520596674e-11,4.5306048847851289e-14,2.2887599144073863e-08,6.186739997512846e-10,1.0044074029246288e-11,2.213976574423704e-19
8.524464296545547e-14,0.17203094247233938,76.950000000000003,0.0,0.0,0.0,0.99999977804028806,9.499999999962796,6.4787939070097669e-09,9.3819018918747402e-08,9.3809943807982647e-08,2.3139463914976504e-11,5.3632478086253486e-14,2.6951049428035646e-08,8.6370198013991952e-10,1.4010720982282432e-11,3.1014848802573222e-19
9.846513688148619e-14,0.17203094247231507,76.950000000000003,0.0,0.0,0.0,0.99999974362398725,9.4999999999504521,7.4835824068495554e-09,1.0836686764927851e-07,1.0835467479659928e-07,3.0870018172733946e-11,6.1958541681568602e-14,3.0972865925896045e-08,1.148474634723673e-09,1.8615207365639973e-11,4.1381049474373032e-19
1.1168563079751691e-13,0.17203094247228734,76.950000000000003,0.0,0.0,0.0,0.9999997092095585,9.4999999999363673,8.4883708483978368e-09,1.2291408563994435e-07,1.2289829357778203e-07,3.9711778192965168e-11,7.0284244256523024e-14,3.4953475185941875e-08,1.4725847681743953e-09,2.384943231877782e-11,5.3237882017781852e-19
1.2490612471354762e-13,0.17203094247225628,76.950000000000003,0.0,0.0,0.0,0.99999967479698237,9.4999999999205507,9.4931592316564887e-09,1.3746068088935087e-07,1.3744080051356884e-07,4.9664381991946856e-11,7.860959038798131e-14,3.8893299410616336e-08,1.8356293338319437e-09,2.9705397285394571e-11,6.6584860848137417e-19
1.3812661862957833e-13,0.17203094247222173,76.950000000000003,0.0,0.0,0.0,0.99999964038623967,9.4999999999030109,1.0497947556627359e-08,1.5200666129472205e-07,1.5198219596587962e-07,6.0727467703541744e-11,8.6934584596921199e-14,4.2792756485292121e-08,2.2372094062364432e-09,3.6175205090757051e-11,8.1421500538513756e-19
1.5134711254560904e-13,0.1720309424721839,76.950000000000003,0.0,0.0,0.0,0.99999960597731208,9.4999999998837517,1.1502735823312285e-08,1.6655203465282924e-07,1.665224802965157e-07,7.2900673579500826e-11,9.5259231345539311e-14,4.6652260008456476e-08,2.6769301523129056e-09,4.3251059012078404e-11,9.7747315820126676e-19
1.7778810037767048e-13,0.172030942472098,76.950000000000003,0.0,0.0,0.0,0.9999995371648277,9.4999999998401208,1.3512312181831536e-08,1.9564099092105358e-07,1.9559971703937741e-07,1.0057599942083167e-10,1.1190750003221517e-13,5.4253039668795932e-08,3.6692345001029641e-09,5.919021159327065e-11,1.3486453287246592e-18
2.0422908820973193e-13,0.1720309424719989,76.950000000000003,0.0,0.0,0.0,0.99999946835938247,9.4999999997897202,1.552188830722855e-08,2.247276101093741e-07,2.246725136341967e-07,1.3268746788765509e-10,1.2855443102724583e-13,6.1698863168032591e-08,4.8094639124090203e-09,7.746244005852424e-11,1.7793263301763886e-18
2.306700760417934e-13,0.17203094247188658,76.950000000000003,0.0,0.0,0.0,0.9999993995608335,9.4999999997326121,1.7531464199517352e-08,2.5381195110857936e-07,2.5374087297112442e-07,1.6923218923510935e-10,1.4520005803882749e-13,6.8992889553246182e-08,6.0946026715456479e-09,9.800885399158949e-11,2.2694773979465461e-18
2.571110638738548e-13,0.1720309424717611,76.950000000000003,0.0,0.0,0.0,0.99999933076903968,9.4999999996688569,1.9541039858711657e-08,2.8289407132362541e-07,2.8280479793842187e-07,2.1020727559955367e-10,1.6184441392415588e-13,7.6138213495650046e-08,7.5216965148908958e-09,1.2077204880118202e-10,2.8190597926609455e-18
