Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182)
5.872025500000001e-08,0.25434684936140006,89.099999999999994,0.0,0.0,0.0,0.99999999999953904,10.999999999999666,1.4467274592852792e-13,3.8205075912600199e-14,1.4159113415666751e-13,1.2282888004341195e-13,1.3779374816938231e-13,1.4079311728236179e-14,1.8941400272299616e-14,1.6671258402354853e-15,1.2953950900566956e-15,6.4755982928886738e-16,1.4863357285571833e-14,3.6891858666888937e-14,1.2581961005381034e-14,6.2901703484753931e-15,5.9578608909360805e-14,4.4135351707044846e-14,4.3356616893756069e-14,3.9636054332940052e-15,3.0341827105645318e-14,6.2641224474240939e-15,4.1387409502509338e-14,5.926738695138535e-15,1.387524430524294e-16,4.4819298787289746e-16,6.5966166429812427e-16,1.1126530844679055e-16
6.710886300000001e-08,0.25434684936140006,89.099999999999994,0.0,0.0,0.0,0.9999999999994732,10.99999999999959,1.5972852321293879e-13,4.3779559566437971e-14,1.559058464175005e-13,1.3346123464608563e-13,1.5172944514248125e-13,1.426122586927786e-14,1.9497814946089932e-14,1.7943712786248705e-15,1.3858999048384483e-15,6.9278146529877695e-16,1.7095176476683735e-14,4.4450360403278709e-14,1.4474313508479185e-14,7.2360532594637575e-15,7.5091223654234508e-14,5.6266412347691888e-14,5.5180237838222892e-14,4.3412660972983316e-15,3.6403258875333536e-14,7.9466164893610294e-15,5.2536894191694494e-14,7.0437292446809617e-15,1.8440888105575062e-16,5.6885622680523337e-16,9.7274464889628997e-16,1.4386194212692693e-16
7.549747100000002e-08,0.2543468493614,89.099999999999994,0.0,0.0,0.0,0.99999999999940736,10.999999999999508,1.7368401769902363e-13,4.9379213441456284e-14,1.6908609415848771e-13,1.429251285624793e-13,1.6455981309493943e-13,1.4358745031978304e-14,1.990653476531914e-14,1.9217056808518812e-15,1.476513814759701e-15,7.3805550959653938e-16,1.9326333304461632e-14,5.2180563540762987e-14,1.6366652347374575e-14,8.1818838187889388e-15,9.1791844093217297e-14,6.9537100285119137e-14,6.8083582133716111e-14,4.7067918125593414e-15,4.2545936556581221e-14,9.7789421922358147e-15,6.4653131936369847e-14,8.1738404423973493e-15,2.3676097755274136e-16,7.0108663290335635e-16,1.364095459266318e-15,1.7938723078738596e-16
8.388607900000002e-08,0.2543468493614,89.099999999999994,0.0,0.0,0.0,0.99999999999934153,10.999999999999421,1.8662058653578226e-13,5.5003034996515559e-14,1.8122247572000476e-13,1.5135268205455584e-13,1.7637280399682379e-13,1.4412421422908617e-14,2.0214440982905907e-14,2.0492465437647856e-15,1.5673452755428901e-15,7.8343624434513506e-16,2.1556710677814108e-14,6.0033060959637063e-14,1.8258868914369333e-14,9.1276077442282373e-15,1.0954746758189246e-13,8.3862317996700309e-14,8.1980257263215513e-14,5.0658562222103533e-15,4.8729894351751189e-14,1.1749380079327684e-14,7.7646759403407499e-14,9.311145121975138e-15,2.9582373329764257e-16,8.4431899842691902e-16,1.8390339848988667e-15,2.1752984841864631e-16
9.227468700000003e-08,0.25434684936139995,89.099999999999994,0.0,0.0,0.0,0.99999999999927569,10.999999999999334,1.9861766256112867e-13,6.0650052259082017e-14,1.9240322767463089e-13,1.5887119214906575e-13,1.8725408844449627e-13,1.4459807367986689e-14,2.0468705900725035e-14,2.1767415004983866e-15,1.6581669584476902e-15,8.2880994286903738e-16,2.3786560944102805e-14,6.7958245953625021e-14,2.0151190325297613e-14,1.0073338762361313e-14,1.2822992734386227e-13,9.9158990525839391e-14,9.6786122803895838e-14,5.4239179191908799e-15,5.4917919256120174e-14,1.3846554527950275e-14,9.1430902433110761e-14,1.0450153928532305e-14,3.6160456641090018e-16,9.9801042045730577e-16,2.4025924328089994e-15,2.5796750198335269e-16
9.999999999999998e-08,0.2543468493613998,89.099999999999994,0.0,0.0,0.0,0.99999999999921507,10.999999999999247,2.0889738391935889e-13,6.5870332027585536e-14,2.0192320172588912e-13,1.6508510372837975e-13,1.9651760198526284e-13,1.4506034235904862e-14,2.0674633114691784e-14,2.2940765014558442e-15,1.7417645997451657e-15,8.7057265253782734e-16,2.5839667066351293e-14,7.530005924913655e-14,2.1894010745759558e-14,1.0944313251804934e-14,1.4616020865829303e-13,1.1404031856599881e-13,1.1116008712887572e-13,5.753956490105047e-15,6.0612181095009068e-14,1.5881403687367368e-14,1.0475718221338999e-13,1.1499414673850286e-14,4.281161446805563e-16,1.1484179735215666e-15,3.0035504164232467e-15,2.9700025759222282e-16
1.0905190300000003e-07,0.2543468493613998,89.099999999999994,0.0,0.0,0.0,0.99999999999914402,10.999999999999142,2.2007468370327832e-13,7.2010362887101955e-14,2.1220682833657317e-13,1.7159748713518261e-13,2.0652249351437105e-13,1.4542651326267992e-14,2.0878185761269299e-14,2.4316452153763624e-15,1.8398296359764369e-15,9.1956058897918203e-16,2.824462990498604e-14,8.395682618058761e-14,2.3936098322539128e-14,1.1964797718672743e-14,1.6795528727817532e-13,1.3237261065445624e-13,1.2883078392220352e-13,6.1379898743294487e-15,6.7299351865605495e-14,1.8382694443611797e-14,1.2106855863828225e-13,1.273226127740876e-14,5.1325203104226939e-16,1.335102053933929e-15,3.8112011826484592e-15,3.4467625893264831e-16
1.2415139740000003e-07,0.2543468493613996,89.099999999999994,0.0,0.0,0.0,0.99999999999902545,10.999999999998961,2.3684236846719837e-13,8.2306208530960458e-14,2.2749364273092904e-13,1.8090378831027365e-13,2.2139029440879094e-13,1.4616967304109775e-14,2.1195927474646056e-14,2.660756449890238e-15,2.003161306746597e-15,1.0011464427661076e-15,3.2255237197612092e-14,9.845303731130105e-14,2.7343003555848489e-14,1.3667200699410692e-14,2.0590703846949959e-13,1.648876503822589e-13,1.600825573803679e-13,6.7803196880624288e-15,7.8435494591816043e-14,2.2808068349148549e-14,1.4973267050960868e-13,1.4788857546064185e-14,6.7244642387426873e-16,1.6703952052466862e-15,5.4169004343540216e-15,4.2812498017086647e-16
1.3925089180000002e-07,0.2543468493613995,89.099999999999994,0.0,0.0,0.0,0.99999999999890687,10.999999999998773,2.515319800280303e-13,9.2666223105925557e-14,2.4073369939160719e-13,1.8859660720710839e-13,2.342613449263802e-13,1.4684607644632697e-14,2.1482080352657133e-14,2.8897845517132597e-15,2.1665210701016354e-15,1.0827394629905607e-15,3.626407575097805e-14,1.1301697763565215e-13,3.0750185927416308e-14,1.5369596695493782e-14,2.4551541214898994e-13,1.995410954227664e-13,1.9327934684942305e-13,7.4213060135964672e-15,8.957135802996885e-14,2.7515108689423359e-14,1.79939685715458e-13,1.6848941159383909e-14,8.5282750094086203e-16,2.0342407189543396e-15,7.3554921965402426e-15,5.1565919108014171e-16
1.5435038620000002e-07,0.25434684936139934,89.099999999999994,0.0,0.0,0.0,0.9999999999987883,10.999999999998577,2.6441777439545787e-13,1.0308752656330616e-13,2.5221747907667985e-13,1.9499241798336149e-13,2.4541834508502885e-13,1.4746103941097367e-14,2.1742159394771698e-14,3.1188424846338356e-15,2.3300128483526656e-15,1.1643916805348203e-15,4.0271034438948131e-14,1.2763702161943789e-13,3.4157540495415999e-14,1.7071933675611175e-14,2.8645860434065599e-13,2.3604676098988151e-13,2.2814415710662994e-13,8.0609628697251587e-15,1.007064928787404e-13,3.2469060403687967e-14,2.11413553302246e-13,1.8912422892953939e-14,1.0539804717365603e-15,2.4253677635246796e-15,9.6342792190943957e-15,6.0649760676947933e-16
1.694498806e-07,0.2543468493613991,89.099999999999994,0.0,0.0,0.0,0.99999999999866973,10.999999999998376,2.7573750448456102e-13,1.1356770402304401e-13,2.6219375748613369e-13,2.0034420635803059e-13,2.5510330839002543e-13,1.4805923264277138e-14,2.1983440685773216e-14,3.3477863396576693e-15,2.4935062013933694e-15,1.2460378564670669e-15,4.4276258722324413e-14,1.4230099439461076e-13,3.7565196637222154e-14,1.877427687823951e-14,3.284786287344186e-13,2.7415669127182467e-13,2.64439761993946e-13,8.7000050256962029e-15,1.118364214343273e-13,3.7640439710907868e-14,2.4392076203280549e-13,2.0978638177181641e-14,1.2754218012742368e-15,2.8427539486101702e-15,1.2256812660346241e-14,6.9999788968928398e-16
1.9964886940000002e-07,0.2543468493613987,89.099999999999994,0.0,0.0,0.0,0.9999999999984327,10.999999999997957,2.944912149476669e-13,1.3469665570245713e-13,2.7846404513348433e-13,2.0872027646850332e-13,2.70874456636917e-13,1.4925729663416517e-14,2.2437231497935646e-14,3.8053568538386364e-15,2.8205169436417808e-15,1.409321820289497e-15,5.2281485918656945e-14,1.7171748392715565e-13,4.4381390172488291e-14,2.217897221246774e-14,4.149264884441189e-13,3.5434247753002687e-13,3.4052212991436909e-13,9.9769662195947645e-15,1.3407559989253723e-13,4.8536805375194548e-14,3.112579460393311e-13,2.511846335790554e-14,1.7770262306995424e-15,3.7530514082296023e-15,1.853436212540036e-14,8.9293985465468866e-16
2.298478582e-07,0.25434684936139823,89.099999999999994,0.0,0.0,0.0,0.99999999999819567,10.99999999999752,3.0914475512606345e-13,1.5604027148208821e-13,2.9091970897316114e-13,2.1491934853642289e-13,2.8291209896267856e-13,1.5052557080429235e-14,2.2877802168455116e-14,4.2624300490014765e-15,3.147490221137902e-15,1.5725599658882125e-15,6.0279837002782313e-14,2.0120879604409939e-13,5.1198821293557644e-14,2.5583714083207789e-14,5.0363175640111581e-13,4.3869055357922019e-13,4.2021514830488779e-13,1.1253437952748864e-14,1.5628054629810923e-13,6.0044765287627871e-14,3.8070548965678436e-13,2.9267077667362423e-14,2.3529586954198911e-15,4.7602794780693531e-15,2.6165437373814234e-14,1.0914353532679524e-15
2.60046847e-07,0.25434684936139773,89.099999999999994,0.0,0.0,0.0,0.99999999999795863,10.999999999997076,3.2071189376459389e-13,1.7758945922692674e-13,3.005670888663564e-13,2.196987764850238e-13,2.9219478665429191e-13,1.5180352500834597e-14,2.3311565223426925e-14,4.7191583933717763e-15,3.4745650416160444e-15,1.7358220461492955e-15,6.8271173326637582e-14,2.3075363040822748e-13,5.8017342741016896e-14,2.89884327340623e-14,5.9381022395298109e-13,5.2614605484401427e-13,5.0255920103185144e-13,1.252848604740426e-14,1.7845742769953622e-13,7.2049622087276641e-14,4.5138698237521245e-13,3.342527384730609e-14,2.9982082320898497e-15,5.8613416955049881e-15,3.5100057334817786e-14,1.2935642579663297e-15
