Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414),OH(D)(24),S(527),S(394),C5H10(30),CCCOO(49),S(262),C7H15(13),H2O(558),S(501),S(715)
1.0485750000000002e-09,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,3.6478540639762146e-17,3.7948782241366186e-17,3.6474094085994669e-17,3.543546200227888e-17,3.5575734680372871e-17,9.2019343785182891e-18,9.1305254780791932e-18,1.263781151004664e-17,1.0687159927888413e-17,5.3427660233652298e-18,3.7686535441398039e-18,3.2000731890831496e-19,3.1880632133973654e-18,1.5918338041808624e-18,4.1727073664332875e-19,2.8433211721771597e-19,2.8280935127187469e-19,1.4005424087594418e-19,3.5050200030871879e-20,8.4267608248623515e-21,2.7579993499551236e-19,7.15468129749241e-20,4.8758868600007255e-23,2.0454862889108146e-21,1.1283951878172697e-23,2.4822067106794543e-23,2.0096916492463193e-23,4.6475813671449494e-24,8.9197566563291639e-25,1.9973839851916862e-25,1.6168677725146451e-21,4.4139258317666438e-22,3.7708329986556305e-22,1.3726586367660767e-27,2.8976293047042755e-25,1.1565163307502175e-27,6.5509127339215432e-26,2.1509463264552565e-21,1.6999711665716891e-23,5.8359043951751747e-24,7.2542250961804311e-19,1.4219960966814777e-27,3.6356485015918521e-31,2.2567579922789358e-25
2.0971510000000003e-09,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,0.99999999999999978,11.0,7.239969307161418e-17,7.5905163132736562e-17,7.2382757275745236e-17,7.0053208130034351e-17,7.0604390861582493e-17,1.7931573236749961e-17,1.7659808693877832e-17,2.0321121265305237e-17,1.7181709506923086e-17,8.5886549971252399e-18,1.2490427004491712e-17,1.2437884926178889e-18,1.0568782918334428e-17,5.2702557223504006e-18,1.6523535002282993e-18,1.1298488965342079e-18,1.1235941711554599e-18,4.5424672697433035e-19,2.3018538952845847e-19,3.3433337830150009e-20,1.0956468434400007e-18,2.798803061390999e-19,3.2287890452615982e-22,7.5651272735604365e-21,1.5004870967035953e-22,1.870619961366083e-22,1.3358552197813914e-22,6.1996606763911252e-23,9.9406923920938105e-24,4.4726270433521516e-24,8.8492772725333473e-21,5.1173767773297968e-22,4.1752740723327898e-21,2.4537543801473072e-26,5.8496354446691413e-24,4.1557610631520651e-26,8.7610504270886713e-25,7.9264486617423286e-21,1.3472523462481494e-22,4.5555233218647526e-23,1.4510294986422574e-18,5.7529294223880198e-26,4.0255935045457929e-30,5.0310596961841555e-24
4.194303e-09,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,0.99999999999999956,11.0,1.4261140490767779e-16,1.5183902508986959e-16,1.4254844886561896e-16,1.3693149320410985e-16,1.3906143908562898e-16,3.4095617886125093e-17,3.3109814325697697e-17,2.8676254668964229e-17,2.4226922067944821e-17,1.2108732152695723e-17,3.6954273753865932e-17,4.707192436095417e-18,3.127436827337907e-17,1.5556597163630332e-17,6.4793349767809128e-18,4.4605966283572844e-18,4.4343608708582951e-18,1.2878468763876044e-18,1.3312148968522908e-18,1.3160327573640928e-19,4.3232552676248804e-18,1.0721004023070158e-18,1.9086190475590812e-21,2.7031533982653274e-20,1.7835112259523617e-21,1.3370087391116624e-21,7.9354427522412465e-22,7.396843632684239e-22,8.8218258063967996e-23,7.9994415061628678e-23,3.866747494375621e-20,5.7223166849003726e-22,3.7175511103029087e-20,3.5226449834089509e-25,9.9149779194566076e-23,1.2015654200056364e-24,1.050654610602875e-23,2.8211751753146544e-20,1.0579952561830753e-21,3.4732298778093369e-22,2.891431765842693e-18,1.959537128091595e-24,3.5842809797378272e-29,9.0602770216628904e-23
8.388607e-09,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,0.99999999999999911,11.0,2.7679900352430617e-16,3.0378701020182311e-16,2.7657134334329954e-16,2.6188350291592365e-16,2.6985648874305842e-16,6.1961661036204233e-17,5.8689458254214563e-17,3.5169544486685345e-17,2.9639583382009478e-17,1.4811338005288139e-17,9.6162801345010267e-17,1.6981573802188558e-17,8.1365288714739324e-17,4.0278174627614075e-17,2.4932877204791392e-17,1.7388425816461266e-17,1.7274667827814578e-17,3.0867602106996039e-18,6.5552877361576554e-18,5.1027390702737945e-19,1.6835334076509315e-17,3.9511725843864052e-18,9.8922204287982297e-21,9.4042081919945959e-20,1.8568350256671143e-20,8.7317984154758799e-21,4.1343053642957024e-21,7.7249228395256898e-21,5.9311881628886228e-22,1.0868608358014976e-21,1.3108325044106936e-19,6.6230551854959588e-22,2.5822761743204899e-19,4.0897771546443209e-24,1.3369943459013585e-21,2.8136856715787636e-23,1.1085427815254076e-22,9.8103126195858181e-20,8.1636104789921029e-21,2.5329426512265965e-21,5.7049232604625052e-18,5.325513738860378e-23,2.4897048846094916e-28,1.2793952051374214e-21
9.999999999999999e-09,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,0.99999999999999889,11.0,3.2396821634075928e-16,3.6221968043994527e-16,3.2363227532904964e-16,3.0396307048096657e-16,3.1580562542056492e-16,7.0071850611459274e-17,6.5634964501329282e-17,3.5915755916139982e-17,3.0230816102527817e-17,1.5105247480836528e-17,1.2071562670973647e-16,2.4597379430585264e-17,1.0210052054628558e-16,5.0372485145971212e-17,3.7940294393670479e-17,2.6758705996389663e-17,2.656765607475629e-17,3.6819707125216014e-18,1.049136874162412e-17,7.8194503627249026e-19,2.5882235546676286e-17,5.8105334040928548e-18,1.6683132344675338e-20,1.3775338696012052e-19,4.7548964669707426e-20,1.660009405493315e-20,6.9894268845811902e-21,1.9791684112940111e-20,1.0571286258850488e-21,3.0151183790853921e-21,1.7438913867132698e-19,6.9268750125132565e-22,4.8351331544164259e-19,1.0895170304090012e-23,3.8338439778731496e-21,1.281257209781233e-22,2.8800531751665978e-22,1.4434889659404923e-19,1.8307480501464918e-20,5.3230435897438833e-21,6.728817483636417e-18,2.6455223116806158e-22,4.6618000784120874e-28,3.8103908915245497e-21
1.6777215e-08,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,0.99999999999999811,11.0,5.2235302789067858e-16,6.0797646927287172e-16,5.215616781301081e-16,4.8094179416620198e-16,5.090590268737472e-16,1.0418177813519948e-16,9.4846453641805533e-17,3.9054180430129669e-17,3.2717429400455567e-17,1.6341375294677524e-17,2.2398017878002795e-16,5.6628021329771051e-17,1.8930899433091352e-16,9.2827251090509802e-17,9.264703749341665e-17,6.6168336911761315e-17,6.5652211699608315e-17,6.1853138082813391e-18,2.7045782985363828e-17,1.9245425603941079e-18,6.3931796607905744e-17,1.3630654279463957e-17,4.5244426889185062e-20,3.2159489067016956e-19,1.6943596226076436e-19,4.9692661313301847e-20,1.8997529435666884e-20,7.0542205868715029e-20,3.0086663586060073e-21,1.112500587779413e-20,3.5652553575287438e-19,8.2046838952371088e-22,1.4310224654975817e-18,3.9517370185385662e-23,1.433512254774637e-20,5.4866002310781241e-22,1.0330691729784247e-21,3.3884988352223913e-19,6.0970684371875913e-20,1.7057681838782734e-20,1.1035123448542305e-17,1.1532279505106119e-21,1.3797222739964471e-27,1.4455281325278555e-20
3.3554431e-08,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,0.99999999999999623,10.999999999999998,9.3652988192577028e-16,1.2173531673222231e-15,9.3397824170264086e-16,8.2292088743678276e-16,9.1204835452218813e-16,1.5568550017543581e-16,1.3448156901021443e-16,4.2260568726831603e-17,3.4984985790596054e-17,1.743723653265698e-17,4.8534620522451157e-16,1.688976319779748e-16,4.0918176158754205e-16,1.9692156454109606e-16,3.2396811906162595e-16,2.409898154513611e-16,2.3854043524055199e-16,1.0443176418578775e-17,9.3191603311413267e-17,6.9210312288770307e-18,2.3191215234237984e-16,4.2545961775430287e-17,1.8618114079128639e-19,1.0713962993383803e-18,1.368632920944841e-18,2.3567699709775101e-19,7.8490091601479213e-20,5.6787197011408537e-19,1.1922366067389971e-20,8.7919454270114725e-20,8.4061205682213739e-19,1.0794801270993716e-21,6.691391047355516e-18,3.2745499188822433e-22,1.2586000376180995e-19,9.1751404001632878e-21,8.6535054845794022e-21,1.1601157526067058e-18,4.302833087224043e-19,1.0074899044535405e-19,2.0608155944086301e-17,2.0468386497124345e-20,6.45151414946652e-27,1.3767488477435489e-19
5.0331647e-08,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,0.99999999999999434,10.999999999999996,1.2858770282593938e-15,1.8275868184113856e-15,1.2811585366108401e-15,1.0899854755607588e-15,1.2515404859511522e-15,1.8711570572534247e-16,1.5631030552012589e-16,4.4894687363687986e-17,3.6768753513060598e-17,1.8268996618292133e-17,7.4838642682402417e-16,2.9920621630768434e-16,6.2966646949735911e-16,2.984355369926189e-16,6.2989516896347614e-16,4.8090832507795826e-16,4.7523743166107263e-16,1.342871591965018e-17,1.7472956567350302e-16,1.3716557489116898e-17,4.6148310721185217e-16,7.7282226376689103e-17,3.9019546976369151e-19,2.0591655485082316e-18,3.8216258916711778e-18,5.1124593946234344e-19,1.6478815081997193e-19,1.5813963840654235e-18,2.3708477593681352e-20,2.367314920777876e-19,1.3370473353455667e-18,1.2921477551276837e-21,1.4725988840889721e-17,9.188450808216279e-22,3.5807993537781112e-19,3.33812122439768e-20,2.4652437102674575e-20,2.2729734802051495e-18,1.1483433118226272e-18,2.433638791053453e-19,2.9223249910333112e-17,7.5421274765529473e-20,1.4198083163276673e-26,4.0884877304066594e-19
6.7108863e-08,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,0.99999999999999245,10.999999999999995,1.5805930283814021e-15,2.4385653187297767e-15,1.5734708857083775e-15,1.2986682910045552e-15,1.5375772989815704e-15,2.0631160951247124e-16,1.6842826767412095e-16,4.7456861361521657e-17,3.8495794661086992e-17,1.9050559497379321e-17,1.0125344522848349e-15,4.3940732332192238e-16,8.5036027650651235e-16,3.9727317535463234e-16,9.9384472329422253e-16,7.7567290324865849e-16,7.6537864943350702e-16,1.56272435782604e-17,2.6562514401690544e-16,2.2012505092766506e-17,7.4238694832902071e-16,1.1556282611134989e-16,6.5111530841792435e-19,3.2416145444800023e-18,7.8234727443087513e-18,8.5978556140254239e-19,2.75313247332284e-19,3.228572162722761e-18,3.7586261317083713e-20,4.6688180025420548e-19,1.8421952751539082e-18,1.4670407194363093e-21,2.5381626103494795e-17,1.8839192925724077e-21,7.388198982603927e-19,8.3011217013852275e-20,5.1382015629452331e-20,3.6375957078481982e-18,2.2812949293699764e-18,4.4367889558690844e-19,3.7003564269733263e-17,1.8880458197804112e-19,2.4471731202824127e-26,8.762424646089814e-19
9.999999999999998e-08,0.20149898279654954,89.099999999999994,0.0,0.0,0.0,0.99999999999998868,10.999999999999988,2.0590691523303222e-15,3.6378067508750957e-15,2.0470481795510978e-15,1.6116446402083134e-15,2.0013100397664678e-15,2.2903288784336529e-16,1.8178356391149668e-16,5.2462618519816098e-17,4.1875234105938937e-17,2.0532335920662515e-17,1.5325813729137943e-15,7.2496875860713162e-16,1.283428766754847e-15,5.8522970417857156e-16,1.8025540801777691e-15,1.4532139901822411e-15,1.4304609933922305e-15,1.8974483059054994e-17,4.5513760068691826e-16,4.098702572318929e-17,1.3848253682505587e-15,1.9492136622109184e-16,1.2767178331555803e-18,5.9072635869766035e-18,1.9881453835653684e-17,1.6657960393268773e-18,5.40612052393434e-19,8.1655947463078118e-18,6.8240857483510437e-20,1.1178590585569235e-18,2.8493966736452232e-18,1.7439298960504618e-21,5.1781809745536258e-17,4.7853265671399113e-21,1.8829568737138389e-18,2.729885522924662e-19,1.3441427471993075e-19,6.7883191207770785e-18,5.5895100001856257e-18,9.5395098196848429e-19,5.0692058783590218e-17,6.2403531194188352e-19,4.9925506433822334e-26,2.3725779109357914e-18
1.00663295e-07,0.20149898279654954,89.099999999999994,0.0,0.0,0.0,0.99999999999998856,10.999999999999988,2.0673653823546425e-15,3.6620107180484713e-15,2.0552430763103209e-15,1.6166464621976736e-15,2.009339900480554e-15,2.2928794099990186e-16,1.8191118343243432e-16,5.2563330884149456e-17,4.1943298454052275e-17,2.0561530660868812e-17,1.5430987258304171e-15,7.3087330124682018e-16,1.2921677210224689e-15,5.8894093602998964e-16,1.8201597897441405e-15,1.4682353608440307e-15,1.4451848662060514e-15,1.9028866451200242e-17,4.5911353175303948e-16,4.1406601797726273e-17,1.3990308198301652e-15,1.9658046948416203e-16,1.2908881489462125e-18,5.9657543284579323e-18,2.0182009852886868e-17,1.6837221365769204e-18,5.4662453274353244e-19,8.28842320781441e-18,6.890602021547185e-20,1.1337086129277311e-18,2.8699382003322757e-18,1.7486148182402888e-21,5.238927535032887e-17,4.8575894725568543e-21,1.9114482837972575e-18,2.7808235219332217e-19,1.3650602930745448e-19,6.8583349483049848e-18,5.6710351777559845e-18,9.6584295482979866e-19,5.0946791186302279e-17,6.3571348037898431e-19,5.0511195275947379e-26,2.4106557348687876e-18
1.34217727e-07,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,0.99999999999998468,10.999999999999982,2.4166304753526669e-15,4.8875698342255736e-15,2.3994856100806167e-15,1.8103959811469272e-15,2.3468782628681155e-15,2.3666322045315025e-16,1.8545330319449878e-16,5.7672466467281908e-17,4.5403772336951942e-17,2.2005086088230195e-17,2.0770128476912969e-15,1.0326700089988374e-15,1.7346568022565962e-15,7.7153434816837516e-16,2.7690598084974264e-15,2.2987713629493259e-15,2.2573199384032057e-15,2.1421272523747666e-17,6.6432537260129924e-16,6.4553316821142411e-17,2.1809051020340185e-15,2.8209682031122897e-16,2.1010531246206087e-18,9.1713984378010759e-18,4.0001946531824765e-17,2.6670873188554409e-18,8.9053833378961409e-19,1.6352976865173376e-17,1.0494144954745703e-19,2.1339827533770218e-18,3.9227019889698292e-18,1.9412180126871592e-21,8.7844092174444282e-17,9.6089930718271976e-21,3.7780794989461781e-18,6.6778220065791308e-19,2.7775362285613008e-19,1.0758521319264979e-17,1.0946846728585065e-17,1.6592598157728225e-18,6.2695343713754739e-17,1.5286149431484691e-18,8.4695008286249261e-26,5.0289408192385173e-18
2.01326591e-07,0.20149898279654954,89.099999999999994,0.0,0.0,0.0,0.99999999999997702,10.999999999999966,2.8550428182352746e-15,7.3441617115950092e-15,2.829333056512724e-15,2.0126690579589965e-15,2.7689730959647157e-15,2.4066505068752258e-16,1.8773929360462928e-16,6.791740923968203e-17,5.2351555015771986e-17,2.4691975807319365e-17,3.1543879547298841e-15,1.6416556978003733e-15,2.6222311816735954e-15,1.110640167371934e-15,4.8456236393622172e-15,4.2205186810667573e-15,4.1233432240137644e-15,2.5503359854253459e-17,1.0819845511336691e-15,1.181358589858501e-16,3.9652340671001307e-15,4.5614545822606497e-16,4.1602109895217228e-18,1.6590495926920468e-17,1.0896924008789556e-16,4.8694062128639978e-18,1.7638091859379944e-18,4.3982014720785422e-17,1.8834765757401805e-19,5.2724676481648489e-18,6.0877734518946133e-18,2.1715889458630066e-21,1.8139720759685312e-16,2.5928343955686702e-20,1.004473929948006e-17,2.6841905921639245e-18,8.0986279387278823e-19,2.0047604957778202e-17,2.8565684701831127e-17,3.3939619853664818e-18,8.2172671644875789e-17,6.0859388021895962e-18,1.7489438028046243e-25,1.5320815307796866e-17
2.68435455e-07,0.20149898279654954,89.099999999999994,0.0,0.0,0.0,0.99999999999996936,10.99999999999995,3.0620202970131335e-15,9.8074833192918869e-15,3.0299329698171738e-15,2.072852302396203e-15,2.9665207462866698e-15,2.3915631169455551e-16,1.8787392326269808e-16,7.82305779909251e-17,5.9338481952742189e-17,2.7141999913690062e-17,4.2436033554475129e-15,2.2532605078973088e-15,3.5133917803183363e-15,1.418554808700259e-15,7.0550845102526826e-15,6.3738717082624274e-15,6.1965647437252582e-15,2.9217214302486469e-17,1.5025005472571154e-15,1.7853178254485248e-16,5.9303234792234168e-15,6.3165492899361782e-16,6.7239062972699773e-18,2.5075598671820383e-17,2.1888128359222642e-16,7.2479710433928616e-18,2.8473589582314482e-18,8.7310893465637862e-17,2.8576698640178947e-19,9.915464543882077e-18,8.3119170027807969e-18,2.2704006263086511e-21,3.0043298017004122e-16,5.1559569996852565e-20,1.960189024163761e-17,6.9784234369860065e-18,1.7244166097788125e-18,3.0866859922892022e-17,5.5885549014146618e-17,5.4315559118480636e-18,9.8567332129434603e-17,1.5626946358239071e-17,2.8966289333077748e-25,3.3504419990097874e-17
3.3554431900000005e-07,0.20149898279654951,89.099999999999994,0.0,0.0,0.0,0.99999999999996148,10.999999999999936,3.151470806161104e-15,1.2277359327329859e-14,3.1150780539443582e-15,2.0836754467333077e-15,3.0506234458434663e-15,2.3817708278260625e-16,1.8860501917898511e-16,8.8639670192848432e-17,6.6358549688238494e-17,2.9384170550153719e-17,5.3441723229325311e-15,2.8644499084816311e-15,4.4083184717434829e-15,1.6993415342911344e-15,9.3039705659753187e-15,8.6443439655027691e-15,8.3634213708368058e-15,3.2952525635309906e-17,1.9212121621043392e-15,2.42940233221949e-16,7.9643212045400473e-15,8.0687029029842991e-16,9.7142131006673491e-18,3.4389937491357759e-17,3.7173950443509551e-16,9.6805544400708061e-18,4.1036179733839432e-18,1.4657594741604962e-16,3.9655789460053449e-19,1.6066866959404701e-17,1.0570473980295673e-17,2.3086583150551711e-21,4.3939121752305949e-16,8.6648400821083934e-20,3.2234840703897491e-17,1.4496946592252764e-17,3.0916986939350501e-18,4.277574466786035e-17,9.3275536586836802e-17,7.6064936955677824e-18,1.1432323135520943e-16,3.1999104665073698e-17,4.2363967985780324e-25,6.1142246675036144e-17
4.026531830000001e-07,0.20149898279654951,89.099999999999994,0.0,0.0,0.0,0.9999999999999537,10.99999999999992,3.1878066513005936e-15,1.4754146324711666e-14,3.1486575144739811e-15,2.0838652307190871e-15,3.08380854527907e-15,2.3813606763640778e-16,1.8979580102322849e-16,9.9168678512475062e-17,7.3409614188896929e-17,3.1446187554753326e-17,6.4562190632929626e-15,3.4752404161565355e-15,5.3070967160407564e-15,1.9566577097410017e-15,1.155313212028703e-14,1.0967198129913931e-14,1.0560319142161139e-14,3.6735735338308235e-17,2.3378113929574815e-15,3.0983868085754196e-16,1.0005118217763975e-14,9.8167236714801697e-16,1.3080974107246308e-17,4.443316259740031e-17,5.6785162185463068e-16,1.2115871624346061e-17,5.5062654984995222e-18,2.2130768568961228e-16,5.2061540675543719e-19,2.372001001647518e-17,1.2842208844298229e-17,2.3227916666806449e-21,5.9339519755261526e-16,1.3091910417465738e-19,4.7550772701262422e-17,2.6200281797373774e-17,4.9730370529574568e-18,5.5522625729882332e-17,1.4085951733526481e-16,9.8188560548259201e-18,1.3100113084797454e-16,5.6916222454148222e-17,5.7212284113684843e-25,9.949395810245319e-17
5.368709110000001e-07,0.20149898279654951,89.099999999999994,0.0,0.0,0.0,0.99999999999993805,10.999999999999888,3.2056252643047099e-15,1.975056811035106e-14,3.1638845643240571e-15,2.0913141024015088e-15,3.0980856797878361e-15,2.3894946094780535e-16,1.9244655671253479e-16,1.2096652764677645e-16,8.7662303443834733e-17,3.4909279565400907e-17,8.7458844042821721e-15,4.6966649321488579e-15,7.1241278978070239e-15,2.3850597443748287e-15,1.5991510794700167e-14,1.5663030928888787e-14,1.490210469728928e-14,4.4297813484906632e-17,3.1634879638432909e-15,4.5146841741315885e-16,1.3933832635556106e-14,1.3303083363342711e-15,2.142541747411467e-17,6.7985814302067293e-17,1.1632177706881553e-15,1.6919971557021862e-17,8.8727251969088824e-18,4.3668969205025162e-16,8.3452937634915801e-19,4.6427100088984609e-17,1.7291952120349065e-17,2.3312804667680069e-21,9.3792007865887892e-16,2.5860191961618117e-19,8.6462255299471239e-17,8.0701191914495448e-17,1.1864509430559535e-17,8.4327784296806516e-17,2.8669850424385185e-16,1.4106203118068704e-17,1.7323086571399374e-16,1.6306795418730929e-16,9.0429700644140043e-25,2.3766570005622099e-16
6.710886390000002e-07,0.20149898279654943,89.099999999999994,0.0,0.0,0.0,0.99999999999992228,10.999999999999856,3.2227327288770396e-15,2.4788236880658822e-14,3.1788358661924522e-15,2.1040620506008676e-15,3.11159484456339e-15,2.3975289338186911e-16,1.950775614391653e-16,1.4339904623349838e-16,1.0203373209403476e-16,3.7988167658476078e-17,1.1094895892108474e-14,5.9181980197678116e-15,8.9567288588981642e-15,2.7633593325097003e-15,2.0382439451152941e-14,2.0355563475219075e-14,1.916400433406519e-14,5.1810434063865604e-17,3.9838027362494556e-15,5.9853559543890975e-16,1.7714306456438898e-14,1.6783774605339688e-15,3.0913372894268166e-17,9.4291750365860492e-17,1.9067239121991916e-15,2.1671483891611238e-17,1.2587303661751034e-17,6.9484283596760668e-16,1.2003499897184449e-18,7.4963272407275716e-17,2.1585380904460379e-17,2.3410009005363784e-21,1.2902182846270506e-15,4.1168375565683198e-19,1.2852142058040264e-16,1.6746442784496898e-16,2.1641106086981102e-17,1.1555027238700539e-16,4.7258178948082288e-16,1.8230600046691816e-17,2.2140444304313315e-16,3.2085670619432422e-16,1.2439658343090351e-24,4.2773702068774577e-16
8.053063670000003e-07,0.20149898279654943,89.099999999999994,0.0,0.0,0.0,0.99999999999990663,10.999999999999824,3.2395407487959045e-15,2.9871609433379372e-14,3.1935406822072148e-15,2.1183266733279967e-15,3.1245209071102222e-15,2.4055175564656851e-16,1.9770755995272463e-16,1.6646259521114303e-16,1.165226404748714e-16,4.0755132412749583e-17,1.3506615664829005e-14,7.1398315016144358e-15,1.0804813301670211e-14,3.1010860352468563e-15,2.4730088359116172e-14,2.5044371038692862e-14,2.3348082851978869e-14,5.9274600284553712e-17,4.7988236440474523e-15,7.5108630697749435e-16,2.1357332741300558e-14,2.025875831739748e-15,4.1460695362209827e-17,1.2334539712087916e-16,2.7874806896077377e-15,2.6375787944428485e-17,1.6592115305473471e-17,9.8908995027202929e-16,1.617462247925541e-18,1.0925940451702661e-16,2.5693139020376516e-17,2.3510122014002475e-21,1.6410119964238616e-15,5.8619995298046575e-19,1.7199524527232203e-16,2.9100732727691212e-16,3.4528252006195954e-17,1.4913766792851439e-16,6.9811467120013814e-16,2.220375072450613e-17,2.7346983652738969e-16,5.3201928889921831e-16,1.5821841019906926e-24,6.6948628216534434e-16
