Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67)
1.071166398391027e-08,0.3019288409263534,89.099999999999994,0.0,0.0,0.0,0.99999999998124556,10.99999999999666,7.7560062735402492e-12,2.7293321800351147e-13,7.5159864807771855e-12,7.2447454543941296e-12,7.2935823297587626e-12,1.3952334443705342e-12,2.1796700660795257e-12,5.5689899259318623e-14,4.3950369664122087e-14,2.1969817708936259e-14,6.1724460215574714e-14,6.523063458207904e-13,5.3149393295135049e-14,2.6571286982189672e-14,5.3819632011327762e-13,3.6934775551976113e-13,3.6077001328153078e-13,6.6041943475679909e-13,5.7598162664864898e-13,3.8726985894707261e-13,3.4980026105842269e-13,8.1425563935025317e-14
1.1955945913544225e-08,0.3019288409263579,89.099999999999994,0.0,0.0,0.0,0.99999999997906697,10.99999999999592,8.6253081205237689e-12,3.05948754014321e-13,8.3288029059897512e-12,8.0255395656625008e-12,8.0839642897948905e-12,1.4613144450427853e-12,2.3747987099908207e-12,6.0128825021310877e-14,4.7206546613056328e-14,2.359622314426486e-14,7.0920077817725093e-14,7.9721290169529399e-13,6.1176931011302674e-14,3.0583489594603709e-14,6.6636928663250121e-13,4.5861343374240824e-13,4.4697031367089056e-13,7.5362937320432179e-13,7.1413183698191499e-13,4.788180991872604e-13,4.3345601004012341e-13,9.6939513499482814e-14
1.3200227843178178e-08,0.30192884092636235,89.099999999999994,0.0,0.0,0.0,0.99999999997688838,10.999999999995119,9.4881884814022629e-12,3.3924410880498534e-13,9.1297900573085269e-12,8.7945331704329742e-12,8.8629784694798475e-12,1.5179948572932654e-12,2.5606510668663123e-12,6.4527907599323891e-14,5.0420920653033692e-14,2.5201515352844723e-14,8.0154350856356302e-14,9.5357684507469447e-13,6.924745808009369e-14,3.4616806737529009e-14,8.0731373639325693e-13,5.5718993398241973e-13,5.4184781073575796e-13,8.4650294314512797e-13,8.6113895230005587e-13,5.7938795082392545e-13,5.2554984491209821e-13,1.1309405477063894e-13
1.4444509772812132e-08,0.30192884092636657,89.099999999999994,0.0,0.0,0.0,0.99999999997470979,10.999999999994261,1.0344693956768005e-11,3.7282115035061631e-13,9.9191402087085876e-12,9.5519528208884882e-12,9.6307780902572276e-12,1.566880422410529e-12,2.7378655003121845e-12,6.8903384925432568e-14,5.3609961162241045e-14,2.6793937903678654e-14,8.9411020767515831e-14,1.1207269156378384e-12,7.7344525730360875e-14,3.8662994866800672e-14,9.6079017892369053e-13,6.6498318422829831e-13,6.4525606550488511e-13,9.389867978062752e-13,1.0155796201155776e-12,6.8882339079873098e-13,6.2594059180425844e-13,1.2979370159091402e-13
1.5688791702446086e-08,0.30192884092637073,89.099999999999994,0.0,0.0,0.0,0.99999999997253119,10.999999999993349,1.1194871045719726e-11,4.0668172261781109e-13,1.0697042494054448e-11,1.0298020597699684e-11,1.0387519505237708e-11,1.6092997708437919e-12,2.9070355888006017e-12,7.3264691360473325e-14,5.6783606231409203e-14,2.8378467390634163e-14,9.8680639803024916e-14,1.2980372704904436e-12,8.5458209241794447e-14,4.2717077405472343e-14,1.1265637088878724e-12,7.8189986383459266e-13,7.5705103320109327e-13,1.0310830576424092e-12,1.1762300579058847e-12,8.0697612347178861e-13,7.3448906666907359e-13,1.4695929409595315e-13
1.693307363208004e-08,0.30192884092637473,89.099999999999994,0.0,0.0,0.0,0.9999999999703526,10.999999999992381,1.2038766158667718e-11,4.4082764585441261e-13,1.1463682961396253e-11,1.103295420521023e-11,1.1133361169151819e-11,1.6463533378114178e-12,3.0687133532886359e-12,7.7617270834282166e-14,5.9947822891862928e-14,2.9958093514455458e-14,1.0795775572845453e-13,1.484924243393871e-12,9.3582549876308868e-14,4.6776064664153614e-14,1.3044039111594159e-12,9.0784740045519009e-13,8.7709102183846565e-13,1.1228199766644225e-12,1.3420503006141361e-12,9.337045677471818e-13,8.5105809815394232e-13,1.6452516642332657e-13
1.9421637491347944e-08,0.30192884092638234,89.099999999999994,0.0,0.0,0.0,0.99999999996599542,10.999999999990298,1.3707895699429335e-11,5.0998270924441599e-13,1.296390750000716e-11,1.2470268363062392e-11,1.2592985140857117e-11,1.7078347988971119e-12,3.3716087202780335e-12,8.6306247721964807e-14,6.6259711195091393e-14,3.3108524309352073e-14,1.2652446363021733e-13,1.8852876767192378e-12,1.0985147807492946e-13,5.4902864731171533e-14,1.6953846093481779e-12,1.1864684804035251e-12,1.141350833159864e-12,1.3053826928520391e-12,1.6858419856369269e-12,1.2123513861562885e-12,1.1077192656330023e-12,2.0065021928411647e-13
2.1910201350615852e-08,0.3019288409263895,89.099999999999994,0.0,0.0,0.0,0.99999999996163824,10.999999999988026,1.5352452370571687e-11,5.8030043865079515e-13,1.4421242414189293e-11,1.3865552757509872e-11,1.4010931219502405e-11,1.7569198295727383e-12,3.6502435544390099e-12,9.498558584402812e-14,7.2562780523234992e-14,3.6253834109785552e-14,1.4509585827029251e-13,2.3178840191997584e-12,1.2613417178664069e-13,6.3034791281674272e-14,2.1319754092484049e-12,1.5001207043699827e-12,1.4369475542528757e-12,1.4869430402345325e-12,2.0415437175435835e-12,1.5237368379034243e-12,1.394867321654884e-12,2.3783408855426607e-13
2.439876520988376e-08,0.30192884092639616,89.099999999999994,0.0,0.0,0.0,0.99999999995728106,10.999999999985578,1.6972804869560976e-11,6.5179457028766374e-13,1.5837070085242234e-11,1.5220400337960309e-11,1.5388473874632486e-11,1.7974855484816663e-12,3.907813351915077e-12,1.0366311498640232e-13,7.8865659745773879e-14,3.9398352341327342e-14,1.6366411002301862e-13,2.7792856759887493e-12,1.4242200196433778e-13,7.1167514907445588e-14,2.6124857924284131e-12,1.8480901501745732e-12,1.7628284715447408e-12,1.6677116711367639e-12,2.4053816644733902e-12,1.8669000025311473e-12,1.7114778834321714e-12,2.7584423686814244e-13
2.6887329069151667e-08,0.3019288409264026,89.099999999999994,0.0,0.0,0.0,0.99999999995292388,10.999999999982963,1.8569320765011956e-11,7.2447848703078199e-13,1.7212728162645185e-11,1.6536342078191063e-11,1.672687071833428e-11,1.8321985887558292e-12,4.1470834839950719e-12,1.1234013569738403e-13,8.5170414906247125e-14,4.2543121158324347e-14,1.8222792716401529e-13,3.2665039701849248e-12,1.5871289373283928e-13,7.9299993461864171e-14,3.135289048985063e-12,2.2296746104595025e-12,2.1179749772941028e-12,1.8478805079460851e-12,2.7747138876431699e-12,2.2409345960429316e-12,2.0565585310901139e-12,3.1452011114436182e-13
2.9375892928419575e-08,0.3019288409264084,89.099999999999994,0.0,0.0,0.0,0.9999999999485667,10.99999999998019,2.0142366397854892e-11,7.9836522697166721e-13,1.8549511005997688e-11,1.7814849432635602e-11,1.802735578100212e-11,1.8628743034424197e-12,4.3704468562031409e-12,1.2101466701785527e-13,9.1475658392605045e-14,4.5687452758084251e-14,2.0078930473153053e-13,3.7769311432917732e-12,1.7500822062318976e-13,8.7432914749496776e-14,3.6988198192182528e-12,2.6441835080883887e-12,2.5014014701400904e-12,2.0276120402669034e-12,3.1477106606904395e-12,2.6449806172472366e-12,2.4291482023912606e-12,3.5375182505122429e-13
3.186445678768748e-08,0.3019288409264141,89.099999999999994,0.0,0.0,0.0,0.99999999994420952,10.999999999977266,2.169230675256036e-11,8.7346749189691679e-13,1.9848671093807335e-11,1.9057336716692269e-11,1.9291134661111022e-11,1.8907531588134519e-12,4.5799747487670132e-12,1.2968602653657629e-13,9.7780759458569789e-14,4.8831035444826032e-14,2.1934894070042327e-13,4.3082891845531335e-12,1.9130859781790334e-13,9.5566590466268631e-14,4.3015717089071454e-12,3.0909378082646128e-12,2.9121542809257288e-12,2.2070064041974398e-12,3.5231330898168888e-12,3.0782177308866584e-12,2.8283164987741787e-12,3.9346381864231734e-13
3.435302064695539e-08,0.30192884092641936,89.099999999999994,0.0,0.0,0.0,0.99999999993985234,10.999999999974197,2.3219505304021785e-11,9.4979765559855519e-13,2.1111420385285919e-11,2.0265163388898071e-11,2.0519381431555266e-11,1.9166959777860451e-12,4.7774609999743234e-12,1.3835546158258037e-13,1.0408674316649763e-13,5.1974384011655001e-14,2.3790560237423588e-13,4.8585853307407957e-12,2.076129856209807e-13,1.0370050582014098e-13,4.9420950005386849e-12,3.5692699279361973e-12,3.3493106343555532e-12,2.3861122470390956e-12,3.900142728734785e-12,3.5398603064512563e-12,3.2531629206323457e-12,4.3360322906537181e-13
3.68415845062233e-08,0.30192884092642425,89.099999999999994,0.0,0.0,0.0,0.99999999993549515,10.999999999970994,2.4724323843137887e-11,1.0273677719829373e-12,2.2338931630400368e-11,2.1439636227321823e-11,2.1713237197141987e-11,1.9413031834343609e-12,4.9644597273530589e-12,1.4702388220258209e-13,1.1039447378324262e-13,5.5117932659427065e-14,2.564583936828481e-13,5.426074042524615e-12,2.2392050578724941e-13,1.1183422661198187e-13,5.6189944681968525e-12,4.0785236426983018e-12,3.8119776501117626e-12,2.5649647247921106e-12,4.2781540478127957e-12,4.0291540251356212e-12,3.7028160410973745e-12,4.7413270853805556e-13
3.9330148365491206e-08,0.3019288409264288,89.099999999999994,0.0,0.0,0.0,0.99999999993113797,10.999999999967658,2.6207122293401544e-11,1.1061895829982958e-12,2.3532339634909512e-11,2.258201141271054e-11,2.2873809679305795e-11,1.96498792854047e-12,5.1423175770141384e-12,1.5569091725413579e-13,1.167037151748433e-13,5.8261565712568865e-14,2.7500770029410243e-13,6.0092244653682244e-12,2.4023137992418853e-13,1.1996786851844923e-13,6.3309272837031206e-12,4.6180539905323698e-12,4.2992913782922527e-12,2.7436007263015874e-12,4.6567520077654592e-12,4.545373482517619e-12,4.1764326498011739e-12,5.1502604022938715e-13
4.1818712224759114e-08,0.30192884092643313,89.099999999999994,0.0,0.0,0.0,0.99999999992678079,10.999999999964196,2.7668258531060715e-11,1.1862745263980424e-12,2.4692742487209814e-11,2.3693496531730564e-11,2.4002173202231564e-11,1.9880310408998235e-12,5.3122016719889948e-12,1.6435602308152294e-13,1.2301397896508584e-13,6.1405041353213597e-14,2.9355408104303307e-13,6.6066922022940744e-12,2.5654608122837513e-13,1.2810167335773105e-13,7.0766010008712091e-12,5.1872271718091676e-12,4.8104158639664018e-12,2.9220481045836349e-12,5.0356522604874324e-12,5.087820214168686e-12,4.6731968990443234e-12,5.5626490057532209e-13
4.430727608402702e-08,0.301928840926437,89.099999999999994,0.0,0.0,0.0,0.99999999992242361,10.999999999960609,2.9108088213039557e-11,1.2676337433340704e-12,2.5821202747939537e-11,2.4775252503484356e-11,2.5099368882064114e-11,2.0106252083440042e-12,5.4751239679826291e-12,1.7301934566610338e-13,1.293253296959869e-13,6.4548393871061631e-14,3.1209740499703697e-13,7.2172946896776779e-12,2.7286453010863293e-13,1.3623560684052888e-13,7.8547716148877782e-12,5.7854204456655684e-12,5.3445422401261165e-12,3.1003192988734574e-12,5.414666870001231e-12,5.6558209655308025e-12,5.1923194640957311e-12,5.9783624985972348e-13
4.928440380256283e-08,0.30192884092644423,89.099999999999994,0.0,0.0,0.0,0.99999999991370936,10.99999999995309,3.1925238473024349e-11,1.4342181232317228e-12,2.7986374865488186e-11,2.6853998158437106e-11,2.7204258598776005e-11,2.0549388095271866e-12,5.7834713665276242e-12,1.9034067425028377e-13,1.419512705871934e-13,7.0834726919622673e-14,3.4917490845117711e-13,8.4738651016146009e-12,3.0551263291300778e-13,1.5250386235799001e-13,9.5038588082648825e-12,7.0664309501884824e-12,6.4786954757604686e-12,3.4563699218351683e-12,6.1725749602100024e-12,6.86590988195428e-12,6.2946099426945617e-12,6.8194207208466757e-13
5.4261531521098645e-08,0.30192884092645045,89.099999999999994,0.0,0.0,0.0,0.99999999990499511,10.999999999945137,3.4661367839793269e-11,1.6060261967906467e-12,3.0035688656239757e-11,2.8826670641553308e-11,2.9196165753824255e-11,2.0985993242009132e-12,6.0730824422251877e-12,2.0765764297341405e-13,1.5458398169535276e-13,7.7121801961608318e-14,3.8623758601874151e-13,9.7719719623263368e-12,3.3817312915378711e-13,1.6877139797515273e-13,1.1269136765436515e-11,8.4563206203180079e-12,7.6957893201998708e-12,3.8117756006320306e-12,6.9298498263944418e-12,8.1707101713493334e-12,7.4774888861338398e-12,7.6729127967164214e-13
